Team1                     ,Team1_Status,Team2                        ,Team2_Status,Date    ,Map        ,Event
Nemiga                    ,w           ,Unique                       ,l           ,9-5-20  ,Dust2      ,ESL One: Road to Rio - CIS
Winstrike                 ,l           ,Spirit                       ,w           ,9-5-20  ,Mirage     ,ESL One: Road to Rio - CIS
Winstrike                 ,l           ,Spirit                       ,w           ,9-5-20  ,Mirage     ,ESL One: Road to Rio - CIS
Unique                    ,l           ,Nemiga                       ,w           ,9-5-20  ,Vertigo    ,ESL One: Road to Rio - CIS
Bifrost                   ,l           ,Riddle                       ,w           ,9-5-20  ,Inferno    ,Telia League Spring 2020
Bifrost                   ,w           ,Riddle                       ,l           ,9-5-20  ,Inferno    ,Telia League Spring 2020
Bifrost                   ,l           ,Riddle                       ,w           ,9-5-20  ,Inferno    ,Telia League Spring 2020
Apeks                     ,l           ,BIG                          ,w           ,9-5-20  ,Dust2      ,Home Sweet Home Cup 3
Apeks                     ,l           ,BIG                          ,w           ,9-5-20  ,Dust2      ,Home Sweet Home Cup 3
Endpoint                  ,w           ,CeX                          ,l           ,9-5-20  ,Vertigo    ,ESL Premiership Spring 2020
Endpoint                  ,w           ,CeX                          ,l           ,9-5-20  ,Vertigo    ,ESL Premiership Spring 2020
Endpoint                  ,w           ,CeX                          ,l           ,9-5-20  ,Vertigo    ,ESL Premiership Spring 2020
ViCi                      ,l           ,TYLOO                        ,w           ,9-5-20  ,Train      ,ESL One: Road to Rio - Asia
ViCi                      ,l           ,TYLOO                        ,w           ,9-5-20  ,Train      ,ESL One: Road to Rio - Asia
ViCi                      ,w           ,TYLOO                        ,l           ,9-5-20  ,Train      ,ESL One: Road to Rio - Asia
Nordavind NO              ,l           ,Apeks                        ,w           ,9-5-20  ,Nuke       ,Telia League Spring 2020
Nordavind NO              ,l           ,Apeks                        ,w           ,9-5-20  ,Nuke       ,Telia League Spring 2020
Complexity                ,w           ,Salamander                   ,l           ,9-5-20  ,Mirage     ,Home Sweet Home Cup 3
Complexity                ,w           ,Salamander                   ,l           ,9-5-20  ,Mirage     ,Home Sweet Home Cup 3
TIGER                     ,w           ,D13                          ,l           ,9-5-20  ,Nuke       ,ESL One: Road to Rio - Asia
TIGER                     ,w           ,D13                          ,l           ,9-5-20  ,Nuke       ,ESL One: Road to Rio - Asia
Chiefs                    ,l           ,ORDER                        ,w           ,9-5-20  ,Train      ,ESL One: Road to Rio - Oceania
Chiefs                    ,l           ,ORDER                        ,w           ,9-5-20  ,Train      ,ESL One: Road to Rio - Oceania
Gen.G                     ,w           ,Cloud9                       ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - North America
Gen.G                     ,l           ,Cloud9                       ,w           ,8-5-20  ,Train      ,ESL One: Road to Rio - North America
Gen.G                     ,w           ,Cloud9                       ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - North America
Endpoint                  ,w           ,Secret                       ,l           ,8-5-20  ,Inferno    ,Home Sweet Home Cup 3
Endpoint                  ,w           ,Secret                       ,l           ,8-5-20  ,Inferno    ,Home Sweet Home Cup 3
Endpoint                  ,l           ,Secret                       ,w           ,8-5-20  ,Inferno    ,Home Sweet Home Cup 3
GODSENT                   ,w           ,mousesports                  ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - Europe
GODSENT                   ,w           ,mousesports                  ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - Europe
Copenhagen Flames         ,l           ,FaZe                         ,w           ,8-5-20  ,Train      ,ESL One: Road to Rio - Europe
Copenhagen Flames         ,l           ,FaZe                         ,w           ,8-5-20  ,Train      ,ESL One: Road to Rio - Europe
Copenhagen Flames         ,w           ,FaZe                         ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - Europe
SKADE                     ,l           ,Endpoint                     ,w           ,8-5-20  ,Dust2      ,Home Sweet Home Cup 3
SKADE                     ,l           ,Endpoint                     ,w           ,8-5-20  ,Dust2      ,Home Sweet Home Cup 3
Hard Legion               ,w           ,Virtus.pro                   ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - CIS
Hard Legion               ,l           ,Virtus.pro                   ,w           ,8-5-20  ,Train      ,ESL One: Road to Rio - CIS
Hard Legion               ,w           ,Virtus.pro                   ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - CIS
Natus Vincere             ,l           ,Syman                        ,w           ,8-5-20  ,Train      ,ESL One: Road to Rio - CIS
Natus Vincere             ,w           ,Syman                        ,l           ,8-5-20  ,Train      ,ESL One: Road to Rio - CIS
Natus Vincere             ,l           ,Syman                        ,w           ,8-5-20  ,Train      ,ESL One: Road to Rio - CIS
pro100                    ,l           ,Espada                       ,w           ,8-5-20  ,Dust2      ,ESL One: Road to Rio - CIS
pro100                    ,l           ,Espada                       ,w           ,8-5-20  ,Dust2      ,ESL One: Road to Rio - CIS
Secret                    ,l           ,BIG                          ,w           ,8-5-20  ,Nuke       ,Home Sweet Home Cup 3
Secret                    ,l           ,BIG                          ,w           ,8-5-20  ,Nuke       ,Home Sweet Home Cup 3
Endpoint                  ,l           ,BIG                          ,w           ,8-5-20  ,Dust2      ,Home Sweet Home Cup 3
Camel Riders              ,l           ,Mazaalai                     ,w           ,8-5-20  ,Dust2      ,ESL One: Road to Rio - Asia
Camel Riders              ,l           ,Mazaalai                     ,w           ,8-5-20  ,Dust2      ,ESL One: Road to Rio - Asia
D13                       ,w           ,TYLOO                        ,l           ,8-5-20  ,Mirage     ,ESL One: Road to Rio - Asia
D13                       ,w           ,TYLOO                        ,l           ,8-5-20  ,Mirage     ,ESL One: Road to Rio - Asia
Secret                    ,w           ,SKADE                        ,l           ,8-5-20  ,Train      ,Home Sweet Home Cup 3
TIGER                     ,w           ,Lucid Dream                  ,l           ,8-5-20  ,Overpass   ,ESL One: Road to Rio - Asia
Beyond                    ,l           ,ViCi                         ,w           ,8-5-20  ,Overpass   ,ESL One: Road to Rio - Asia
Beyond                    ,l           ,ViCi                         ,w           ,8-5-20  ,Overpass   ,ESL One: Road to Rio - Asia
Lucid Dream               ,l           ,TIGER                        ,w           ,8-5-20  ,Dust2      ,ESL One: Road to Rio - Asia
Chaos                     ,w           ,Warriors International       ,l           ,8-5-20  ,Overpass   ,ESEA MDL Season 34 North America
Chiefs                    ,l           ,Renegades                    ,w           ,8-5-20  ,Mirage     ,ESL One: Road to Rio - Oceania
Chiefs                    ,l           ,Renegades                    ,w           ,8-5-20  ,Mirage     ,ESL One: Road to Rio - Oceania
ORDER                     ,w           ,Ground Zero                  ,l           ,8-5-20  ,Vertigo    ,ESL One: Road to Rio - Oceania
ORDER                     ,w           ,Ground Zero                  ,l           ,8-5-20  ,Vertigo    ,ESL One: Road to Rio - Oceania
blood                     ,l           ,sweat                        ,w           ,8-5-20  ,Mirage     ,ESEA MDL Season 34 North America
AA                        ,w           ,Keep the Comms Up            ,l           ,8-5-20  ,Mirage     ,ESEA MDL Season 34 North America
Rugratz                   ,w           ,Under 21                     ,l           ,8-5-20  ,Train      ,ESEA MDL Season 34 North America
Mythic                    ,w           ,TeamOne                      ,l           ,8-5-20  ,Dust2      ,ESEA MDL Season 34 North America
Secret                    ,l           ,AVEZ                         ,w           ,7-5-20  ,Overpass   ,BLAST Rising 2020
Liquid                    ,w           ,100 Thieves                  ,l           ,7-5-20  ,Vertigo    ,ESL One: Road to Rio - North America
Liquid                    ,w           ,100 Thieves                  ,l           ,7-5-20  ,Vertigo    ,ESL One: Road to Rio - North America
Heretics                  ,w           ,sAw                          ,l           ,7-5-20  ,Inferno    ,BLAST Rising 2020
Nordavind                 ,l           ,Complexity                   ,w           ,7-5-20  ,Mirage     ,Home Sweet Home Cup 3
Nordavind                 ,l           ,Complexity                   ,w           ,7-5-20  ,Mirage     ,Home Sweet Home Cup 3
AVEZ                      ,l           ,sAw                          ,w           ,7-5-20  ,Dust2      ,BLAST Rising 2020
KOVA                      ,w           ,SJ                           ,l           ,7-5-20  ,Train      ,Telia Esports Series Season 3
KOVA                      ,w           ,SJ                           ,l           ,7-5-20  ,Train      ,Telia Esports Series Season 3
Elites                    ,w           ,HSL                          ,l           ,7-5-20  ,Nuke       ,ESL Italy Vodafone Championship Spring 2020
Elites                    ,w           ,HSL                          ,l           ,7-5-20  ,Nuke       ,ESL Italy Vodafone Championship Spring 2020
Elites                    ,l           ,HSL                          ,w           ,7-5-20  ,Nuke       ,ESL Italy Vodafone Championship Spring 2020
Elites                    ,w           ,HSL                          ,l           ,7-5-20  ,Nuke       ,ESL Italy Vodafone Championship Spring 2020
Heretics                  ,w           ,Secret                       ,l           ,7-5-20  ,Nuke       ,BLAST Rising 2020
SKADE                     ,w           ,GamerLegion                  ,l           ,7-5-20  ,Inferno    ,ESEA MDL Season 34 Europe
sAw                       ,l           ,Secret                       ,w           ,7-5-20  ,Nuke       ,BLAST Rising 2020
Movistar Riders           ,l           ,North                        ,w           ,7-5-20  ,Vertigo    ,ESL One: Road to Rio - Europe
Movistar Riders           ,l           ,North                        ,w           ,7-5-20  ,Vertigo    ,ESL One: Road to Rio - Europe
c0ntact                   ,l           ,G2                           ,w           ,7-5-20  ,Overpass   ,ESL One: Road to Rio - Europe
c0ntact                   ,l           ,G2                           ,w           ,7-5-20  ,Overpass   ,ESL One: Road to Rio - Europe
Heretics                  ,w           ,AVEZ                         ,l           ,7-5-20  ,Nuke       ,BLAST Rising 2020
SMASH                     ,w           ,Nordavind                    ,l           ,7-5-20  ,Inferno    ,Home Sweet Home Cup 3
SMASH                     ,l           ,Nordavind                    ,w           ,7-5-20  ,Inferno    ,Home Sweet Home Cup 3
SMASH                     ,w           ,Nordavind                    ,l           ,7-5-20  ,Inferno    ,Home Sweet Home Cup 3
Spirit                    ,w           ,Nemiga                       ,l           ,7-5-20  ,Nuke       ,ESL One: Road to Rio - CIS
Spirit                    ,w           ,Nemiga                       ,l           ,7-5-20  ,Nuke       ,ESL One: Road to Rio - CIS
Spirit                    ,l           ,Nemiga                       ,w           ,7-5-20  ,Nuke       ,ESL One: Road to Rio - CIS
Winstrike                 ,w           ,Gambit Youngsters            ,l           ,7-5-20  ,Dust2      ,ESL One: Road to Rio - CIS
Winstrike                 ,w           ,Gambit Youngsters            ,l           ,7-5-20  ,Dust2      ,ESL One: Road to Rio - CIS
Unique                    ,l           ,forZe                        ,w           ,7-5-20  ,Inferno    ,ESL One: Road to Rio - CIS
Unique                    ,l           ,forZe                        ,w           ,7-5-20  ,Inferno    ,ESL One: Road to Rio - CIS
Complexity                ,w           ,FATE                         ,l           ,7-5-20  ,Mirage     ,Home Sweet Home Cup 3
Complexity                ,w           ,FATE                         ,l           ,7-5-20  ,Mirage     ,Home Sweet Home Cup 3
Bantz                     ,w           ,Paradox                      ,l           ,7-5-20  ,Dust2      ,ESEA MDL Season 34 Australia
Forbidden                 ,w           ,PC419                        ,l           ,7-5-20  ,Mirage     ,ESEA MDL Season 34 Australia
Incept                    ,l           ,TWA                          ,w           ,7-5-20  ,Overpass   ,ESEA MDL Season 34 Australia
Heroic                    ,w           ,Nordavind                    ,l           ,7-5-20  ,Nuke       ,LOOT.BET Season 6
Heroic                    ,w           ,Nordavind                    ,l           ,7-5-20  ,Nuke       ,LOOT.BET Season 6
SMASH                     ,w           ,Complexity                   ,l           ,7-5-20  ,Mirage     ,Home Sweet Home Cup 3
Bantz                     ,w           ,FURY                         ,l           ,7-5-20  ,Inferno    ,ESEA MDL Season 34 Australia
Skyfire                   ,l           ,TWA                          ,w           ,7-5-20  ,Nuke       ,ESEA MDL Season 34 Australia
Mazaalai                  ,l           ,D13                          ,w           ,7-5-20  ,Dust2      ,ESL One: Road to Rio - Asia
Mazaalai                  ,l           ,D13                          ,w           ,7-5-20  ,Dust2      ,ESL One: Road to Rio - Asia
Camel Riders              ,l           ,TYLOO                        ,w           ,7-5-20  ,Mirage     ,ESL One: Road to Rio - Asia
Camel Riders              ,l           ,TYLOO                        ,w           ,7-5-20  ,Mirage     ,ESL One: Road to Rio - Asia
Nordavind                 ,w           ,FATE                         ,l           ,7-5-20  ,Inferno    ,Home Sweet Home Cup 3
Beyond                    ,l           ,Lucid Dream                  ,w           ,7-5-20  ,Overpass   ,ESL One: Road to Rio - Asia
Beyond                    ,l           ,Lucid Dream                  ,w           ,7-5-20  ,Overpass   ,ESL One: Road to Rio - Asia
ViCi                      ,w           ,TIGER                        ,l           ,7-5-20  ,Nuke       ,ESL One: Road to Rio - Asia
ViCi                      ,w           ,TIGER                        ,l           ,7-5-20  ,Nuke       ,ESL One: Road to Rio - Asia
ViCi                      ,l           ,TIGER                        ,w           ,7-5-20  ,Nuke       ,ESL One: Road to Rio - Asia
ORDER                     ,w           ,Chiefs                       ,l           ,7-5-20  ,Inferno    ,ESL One: Road to Rio - Oceania
ORDER                     ,w           ,Chiefs                       ,l           ,7-5-20  ,Inferno    ,ESL One: Road to Rio - Oceania
ORDER                     ,l           ,Chiefs                       ,w           ,7-5-20  ,Inferno    ,ESL One: Road to Rio - Oceania
Ground Zero               ,l           ,Renegades                    ,w           ,7-5-20  ,Dust2      ,ESL One: Road to Rio - Oceania
Ground Zero               ,l           ,Renegades                    ,w           ,7-5-20  ,Dust2      ,ESL One: Road to Rio - Oceania
Polar Ace                 ,w           ,Infinity                     ,l           ,7-5-20  ,Overpass   ,ESEA MDL Season 34 North America
Swedish Canadians         ,w           ,Chaos                        ,l           ,7-5-20  ,Mirage     ,ESEA MDL Season 34 North America
Swedish Canadians         ,w           ,Big Frames                   ,l           ,7-5-20  ,Nuke       ,ESEA MDL Season 34 North America
"[""Buffdaddys Paypal"""  ,l           ,AA                           ,w           ,7-5-20  ,Mirage     ,ESEA MDL Season 34 North America
RED Canids                ,w           ,Alma                         ,l           ,7-5-20  ,Vertigo    ,CLUTCH Season 2
RED Canids                ,w           ,Alma                         ,l           ,7-5-20  ,Vertigo    ,CLUTCH Season 2
Mythic                    ,l           ,Chaos                        ,w           ,7-5-20  ,Inferno    ,ESEA MDL Season 34 North America
"[""Buffdaddys Paypal"""  ,l           ,TeamOne                      ,w           ,7-5-20  ,Dust2      ,ESEA MDL Season 34 North America
Under 21                  ,w           ,Way 2 French                 ,l           ,7-5-20  ,Mirage     ,ESEA MDL Season 34 North America
Soberano                  ,l           ,Isurus                       ,w           ,6-5-20  ,Inferno    ,CLUTCH Season 2
Soberano                  ,w           ,Isurus                       ,l           ,6-5-20  ,Inferno    ,CLUTCH Season 2
Japaleno                  ,w           ,FATE                         ,l           ,6-5-20  ,Inferno    ,BLAST Rising 2020
Envy                      ,l           ,Cloud9                       ,w           ,6-5-20  ,Dust2      ,ESL One: Road to Rio - North America
Envy                      ,l           ,Cloud9                       ,w           ,6-5-20  ,Dust2      ,ESL One: Road to Rio - North America
Envy                      ,w           ,Cloud9                       ,l           ,6-5-20  ,Dust2      ,ESL One: Road to Rio - North America
Apeks                     ,l           ,Movistar Riders              ,w           ,6-5-20  ,Nuke       ,BLAST Rising 2020
Japaleno                  ,w           ,Apeks                        ,l           ,6-5-20  ,Overpass   ,BLAST Rising 2020
HellRaisers               ,w           ,Wisla Krakow                 ,l           ,6-5-20  ,Inferno    ,ESEA MDL Season 34 Europe
AGO                       ,w           ,forZe                        ,l           ,6-5-20  ,Mirage     ,Home Sweet Home Cup 3
AGO                       ,l           ,forZe                        ,w           ,6-5-20  ,Mirage     ,Home Sweet Home Cup 3
AGO                       ,w           ,forZe                        ,l           ,6-5-20  ,Mirage     ,Home Sweet Home Cup 3
Movistar Riders           ,w           ,FATE                         ,l           ,6-5-20  ,Inferno    ,BLAST Rising 2020
Unicorns of Love          ,l           ,Singularity                  ,w           ,6-5-20  ,Overpass   ,ESEA MDL Season 34 Europe
ALTERNATE aTTaX           ,l           ,Nordavind                    ,w           ,6-5-20  ,Overpass   ,ESEA MDL Season 34 Europe
Endpoint                  ,w           ,HellRaisers                  ,l           ,6-5-20  ,Dust2      ,ESEA MDL Season 34 Europe
Complexity                ,l           ,fnatic                       ,w           ,6-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
Complexity                ,l           ,fnatic                       ,w           ,6-5-20  ,Inferno    ,ESL One: Road to Rio - Europe
ENCE                      ,w           ,Vitality                     ,l           ,6-5-20  ,Nuke       ,ESL One: Road to Rio - Europe
ENCE                      ,w           ,Vitality                     ,l           ,6-5-20  ,Nuke       ,ESL One: Road to Rio - Europe
