Winner,Team1,T1_Player1,T1_Player2,T1_Player3,T1_Player4,T1_Player5,Team2,T2_Player1,T2_Player2,T2_Player3,T2_Player4,T2_Player5,Team1_Score,Team2_Score,Map
Vega Squadron,Liquid,nitr0,EliGE,Twistzz,jdm64,zews,Vega Squadron,chopper,mir,hutji,keshandr,jR,Mirage
FaZe,FaZe,rain,olofmeister,NiKo,karrigan,GuardiaN,Natus Vincere,Zeus,s1mple,Edward,flamie,electronic,Train
MOUZ,Space Soldiers,XANTARES,paz,Calyx,ngiN,MAJ3R,MOUZ,ropz,suNny,oskar,STYKO,chrisJ,Mirage
Sprout,Renegades,NAF,AZR,jks,USTILO,Nifty,Sprout,denis,kRYSTAL,Spiidi,zehN,innocent,Cobblestone
MOUZ,MOUZ,suNny,oskar,chrisJ,STYKO,ropz,Renegades,USTILO,AZR,Nifty,NAF,jks,Mirage
Liquid,Natus Vincere,s1mple,Zeus,electronic,flamie,Edward,Liquid,Twistzz,EliGE,nitr0,jdm64,zews,Inferno
Renegades,Renegades,NAF,USTILO,jks,AZR,Nifty,AVANGAR,Jame,Qikert,dimasick,buster,KrizzeN,Mirage
Liquid,Liquid,nitr0,Twistzz,EliGE,jdm64,zews,AVANGAR,buster,Qikert,KrizzeN,dimasick,Jame,Mirage
AGO,AGO,TOAO,phr,Furlan,snatchie,GruBy,Spirit,Dima,sdy,S0tF1k,COLDYY1,DavCost,Inferno
Spirit,AGO,TOAO,GruBy,Furlan,snatchie,phr,Spirit,Dima,sdy,DavCost,COLDYY1,S0tF1k,Cobblestone
Spirit,Valiance,emi,huNter-,DJOXiC,LETN1,NENO,Spirit,COLDYY1,sdy,DavCost,S0tF1k,Dima,Inferno
Valiance,Valiance,huNter-,DJOXiC,LETN1,NENO,emi,Spirit,S0tF1k,Dima,sdy,COLDYY1,DavCost,Mirage
Spirit,Valiance,DJOXiC,LETN1,huNter-,NENO,emi,Spirit,Dima,S0tF1k,COLDYY1,DavCost,sdy,Nuke
EPG,EPG,YEKINDAR,hooch,El1an,NickelBack,spaze,forZe,BAS,kUcheR,Jerry,liTTle,facecrack,Inferno
Tricked,Tricked,Ryxxo,Inzta,Lukki,snedker,Console,ALTERNATE aTTaX,ecfN,stfN,syrsoN,HUNDEN,tiziaN,Mirage
ALTERNATE aTTaX,Tricked,snedker,Inzta,Console,Ryxxo,Lukki,ALTERNATE aTTaX,syrsoN,stfN,tiziaN,HUNDEN,ecfN,Train
Tricked,Tricked,snedker,Lukki,Console,Inzta,Ryxxo,ALTERNATE aTTaX,ecfN,tiziaN,syrsoN,stfN,HUNDEN,Cobblestone
AGO,PRIDE,reatz,Patitek,MINISE,morelz,ToM223,AGO,Furlan,phr,TOAO,snatchie,GruBy,Train
PRIDE,PRIDE,ToM223,Patitek,morelz,MINISE,reatz,AGO,Furlan,GruBy,phr,snatchie,TOAO,Mirage
Spirit,PRIDE,reatz,Patitek,ToM223,morelz,MINISE,Spirit,sdy,COLDYY1,S0tF1k,DavCost,Dima,Overpass
PRIDE,PRIDE,morelz,Patitek,reatz,MINISE,ToM223,Spirit,sdy,Dima,COLDYY1,S0tF1k,DavCost,Mirage
