Date,Teams,Score,Map,Event,Series
11-1-18,"['Portal', 'Fire Dragoon']","['17', '19']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11066
11-1-18,"['Parallax', 'Control']","['22', '19']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11065
11-1-18,"['ORDER', 'Chosen5']","['16', '9']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11064
11-1-18,"['Parallax', 'Wolfhound']","['16', '2']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11063
11-1-18,"['LEOPARD', 'Control']","['16', '2']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11062
11-1-18,"['MVP PK', 'Chosen5']","['16', '10']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11061
11-1-18,"['ORDER', 'Fire Dragoon']","['16', '6']",Train,WESG 2017 Asia-Pacific Regional Finals,11060
11-1-18,"['Parallax', 'LEOPARD']","['16', '8']",Overpass,WESG 2017 Asia-Pacific Regional Finals,11059
11-1-18,"['Wolfhound', 'New4']","['2', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals,11058
11-1-18,"['Fire Dragoon', 'Chosen5']","['5', '16']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals,11057
11-1-18,"['New4', 'Parallax']","['19', '22']",Train,WESG 2017 Asia-Pacific Regional Finals,11056
11-1-18,"['MVP PK', 'Portal']","['16', '3']",Train,WESG 2017 Asia-Pacific Regional Finals,11055
11-1-18,"['Wolfhound', 'Control']","['5', '16']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11054
11-1-18,"['Asterisk fe', 'Powar Rangirls']","['11', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11053
11-1-18,"['Powar Rangirls', 'Asterisk fe']","['9', '16']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals Female,11053
11-1-18,"['Powar Rangirls', 'Asterisk fe']","['3', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals Female,11053
11-1-18,"['Portal', 'Chosen5']","['17', '19']",Cache,WESG 2017 Asia-Pacific Regional Finals,11052
11-1-18,"['No IdeA', 'LeetPro fe']","['16', '7']",Inferno,WESG 2017 Asia-Pacific Regional Finals Female,11051
11-1-18,"['LeetPro fe', 'No IdeA']","['12', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11051
11-1-18,"['AnticlockwiSe', 'K23 fe']","['8', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals Female,11050
11-1-18,"['K23 fe', 'AnticlockwiSe']","['16', '12']",Inferno,WESG 2017 Asia-Pacific Regional Finals Female,11050
11-1-18,"['MVP PK', 'ORDER']","['16', '13']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11049
11-1-18,"['Kings fe', 'Etab']","['16', '11']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11048
11-1-18,"['Kings fe', 'Etab']","['12', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals Female,11048
11-1-18,"['Kings fe', 'Etab']","['10', '16']",Inferno,WESG 2017 Asia-Pacific Regional Finals Female,11048
11-1-18,"['Tricked', 'aAa']","['16', '11']",Overpass,DaddySkins Western League,11047
11-1-18,"['Tricked', 'aAa']","['19', '17']",Train,DaddySkins Western League,11047
11-1-18,"['ALTERNATE aTTaX', 'Reason']","['11', '16']",Mirage,DaddySkins Western League,11046
