Date,Team1,Team2,Score,Map,Event,Series
10-1-21,"['pARAMICE', 'Maboyy', 'narelya', 'mori', 'ToreQ', 'yahiko']","['Red Instinct', 'Ex3rcice', 'xReal', 'Jas_x', 'Alx', 'DexxM']","['16', '11']",Dust2,Swiss Esports League Fall 2020,7898
10-1-21,"['LowLandLions', 'blackie', 'eneshan', 'Bernard', 'shield', 'Bowen']","['Apologis', 'DrqkoN', 'SoneSb', 'SBT', 'Gringo', 'wasiNk']","['16', '5']",Vertigo,NumberOne Season 1 Finals,7897
10-1-21,"['LowLandLions', 'shield', 'Bowen', 'eneshan', 'Bernard', 'blackie']","['Apologis', 'SoneSb', 'DrqkoN', 'SBT', 'Gringo', 'wasiNk']","['16', '11']",Inferno,NumberOne Season 1 Finals,7897
10-1-21,"['LowLandLions', 'eneshan', 'shield', 'blackie', 'Bernard', 'Bowen']","['Apologis', 'SoneSb', 'SBT', 'DrqkoN', 'Gringo', 'wasiNk']","['25', '23']",Mirage,NumberOne Season 1 Finals,7897
11-1-21,"['Nexus', 'SEMINTE', 'XELLOW', 'ragga', 'iM', 'BTN']","['Winstrike', 'Lack1', 'n0rb3r7', 'NickelBack', 'neaLaN', 'El1an']","['16', '13']",Nuke,Vulkan Fight Series 2020,7896
11-1-21,"['Nexus', 'iM', 'ragga', 'XELLOW', 'SEMINTE', 'BTN']","['Winstrike', 'NickelBack', 'Lack1', 'n0rb3r7', 'neaLaN', 'El1an']","['11', '16']",Mirage,Vulkan Fight Series 2020,7896
11-1-21,"['Nexus', 'XELLOW', 'SEMINTE', 'BTN', 'iM', 'ragga']","['Winstrike', 'El1an', 'Lack1', 'n0rb3r7', 'NickelBack', 'neaLaN']","['16', '13']",Dust2,Vulkan Fight Series 2020,7896
11-1-21,"['Sprout', 'slaxz-', 'denis', 'faveN', 'Spiidi', 'kressy']","['SSP', 'glaVed', 'mvN', 'Ponke', 'Jockel', 'rapala']","['6', '16']",Nuke,UNITED Pro Series Winter 2020,7895
11-1-21,"['Sprout', 'kressy', 'Spiidi', 'denis', 'slaxz-', 'faveN']","['SSP', 'mvN', 'Jockel', 'Ponke', 'glaVed', 'rapala']","['16', '9']",Inferno,UNITED Pro Series Winter 2020,7895
11-1-21,"['Budapest Five', 'coolio', 'torzsi', 'kolor', 'kory', 'fleav']","['NAVI Junior', 'Topa', 'Gospadarov', 'b1t', 'm0NESY', 'kapacho']","['16', '1']",Train,Vulkan Fight Series 2020,7894
11-1-21,"['Budapest Five', 'fleav', 'coolio', 'torzsi', 'kolor', 'kory']","['NAVI Junior', 'm0NESY', 'b1t', 'Topa', 'kapacho', 'Gospadarov']","['5', '16']",Dust2,Vulkan Fight Series 2020,7894
11-1-21,"['Budapest Five', 'coolio', 'kory', 'fleav', 'kolor', 'torzsi']","['NAVI Junior', 'm0NESY', 'b1t', 'kapacho', 'Topa', 'Gospadarov']","['10', '16']",Vertigo,Vulkan Fight Series 2020,7894
11-1-21,"['Unicorns of Love', 'HadeZ', 'crisby', 'P4TriCK', 'Python', 'Anhuin']","['plan-B', 'xTreMe', 'TWEEZYCS', 'Lefty', 'Orbit', 'delkore']","['16', '13']",Inferno,UNITED Pro Series Winter 2020,7893
11-1-21,"['Unicorns of Love', 'Anhuin', 'Python', 'P4TriCK', 'HadeZ', 'crisby']","['plan-B', 'xTreMe', 'Lefty', 'Orbit', 'delkore', 'TWEEZYCS']","['9', '16']",Dust2,UNITED Pro Series Winter 2020,7893
11-1-21,"['TTC', 'nixeed', 'KrowNii', 'powerYY', 'pulzG', 'dukiiii']","['NLG', 'pdy', 'xenn', 'red', 'skyye', 's1n']","['16', '13']",Mirage,UNITED Pro Series Winter 2020,7892
11-1-21,"['TTC', 'powerYY', 'pulzG', 'KrowNii', 'PALM1', 'dukiiii']","['NLG', 's1n', 'pdy', 'skyye', 'red', 'xenn']","['16', '10']",Overpass,UNITED Pro Series Winter 2020,7892
11-1-21,"['TTC', 'KrowNii', 'PALM1', 'dukiiii', 'pulzG', 'powerYY']","['NLG', 'pdy', 's1n', 'red', 'skyye', 'xenn']","['16', '11']",Dust2,UNITED Pro Series Winter 2020,7892
12-1-21,"['HellRaisers', 'JIaYm', 'ProbLeM', 'jR', 'kalinka', 'Flarich']","['ex-ETHEREAL', 'zorte', 'KENSI', 'R0b3n', 'KaiR0N-', 'PASHANOJ']","['19', '17']",Nuke,Vulkan Fight Series 2020,7891
12-1-21,"['HellRaisers', 'JIaYm', 'Flarich', 'ProbLeM', 'jR', 'kalinka']","['ex-ETHEREAL', 'KaiR0N-', 'R0b3n', 'KENSI', 'PASHANOJ', 'zorte']","['16', '14']",Inferno,Vulkan Fight Series 2020,7891
12-1-21,"['SPARX', 'krii', 'tahsiN', 'devraNN', 'hyskeee', 'Marix']","['ALTERNATE aTTaX', 'stfN', 'Krimbo', 'kRYSTAL', 'PANIX', 'ScrunK']","['7', '16']",Dust2,UNITED Pro Series Winter 2020,7890
12-1-21,"['SPARX', 'hyskeee', 'devraNN', 'tahsiN', 'krii', 'Marix']","['ALTERNATE aTTaX', 'Krimbo', 'kRYSTAL', 'PANIX', 'stfN', 'ScrunK']","['14', '16']",Inferno,UNITED Pro Series Winter 2020,7890
12-1-21,"['SINNERS', 'ZEDKO', 'NEOFRAG', 'SHOCK', 'oskar', 'beastik']","['Project X', 'SENSEi', 'w0nderful', 'Psycho', '7oX1C', 'Sergiz']","['16', '14']",Nuke,Vulkan Fight Series 2020,7889
12-1-21,"['SINNERS', 'oskar', 'NEOFRAG', 'ZEDKO', 'SHOCK', 'beastik']","['Project X', 'SENSEi', 'w0nderful', '7oX1C', 'Psycho', 'Sergiz']","['16', '14']",Vertigo,Vulkan Fight Series 2020,7889
12-1-21,"['plan-B', 'TWEEZYCS', 'delkore', 'xTreMe', 'Orbit', 'Lefty']","['SPARX', 'krii', 'hyskeee', 'devraNN', 'Marix', 'tahsiN']","['16', '14']",Inferno,UNITED Pro Series Winter 2020,7888
12-1-21,"['plan-B', 'TWEEZYCS', 'delkore', 'Orbit', 'xTreMe', 'Lefty']","['SPARX', 'Marix', 'hyskeee', 'krii', 'devraNN', 'tahsiN']","['12', '16']",Nuke,UNITED Pro Series Winter 2020,7888
12-1-21,"['SSP', 'glaVed', 'Ponke', 'rapala', 'DreaM', 'Jockel']","['NLG', 'skyye', 'red', 'pdy', 's1n', 'xenn']","['19', '15']",Inferno,UNITED Pro Series Winter 2020,7887
12-1-21,"['SSP', 'glaVed', 'rapala', 'Ponke', 'mvN', 'DreaM']","['NLG', 'skyye', 'pdy', 'xenn', 's1n', 'red']","['1', '16']",Vertigo,UNITED Pro Series Winter 2020,7887
13-1-21,"['Winstrike', 'n0rb3r7', 'NickelBack', 'neaLaN', 'Lack1', 'El1an']","['Gambit', 'Ax1Le', 'HObbit', 'sh1ro', 'nafany', 'interz']","['16', '19']",Vertigo,Vulkan Fight Series 2020,7886
13-1-21,"['Winstrike', 'El1an', 'Lack1', 'n0rb3r7', 'neaLaN', 'NickelBack']","['Gambit', 'Ax1Le', 'sh1ro', 'nafany', 'HObbit', 'interz']","['9', '16']",Mirage,Vulkan Fight Series 2020,7886
13-1-21,"['Unicorns of Love', 'P4TriCK', 'HadeZ', 'Python', 'Anhuin', 'crisby']","['ALTERNATE aTTaX', 'stfN', 'kRYSTAL', 'PANIX', 'Krimbo', 'ScrunK']","['9', '16']",Dust2,UNITED Pro Series Winter 2020,7885
13-1-21,"['Unicorns of Love', 'HadeZ', 'P4TriCK', 'Python', 'Anhuin', 'crisby']","['ALTERNATE aTTaX', 'PANIX', 'Krimbo', 'stfN', 'kRYSTAL', 'ScrunK']","['9', '16']",Inferno,UNITED Pro Series Winter 2020,7885
13-1-21,"['Sprout', 'faveN', 'denis', 'kressy', 'slaxz-', 'Spiidi']","['TTC', 'KrowNii', 'nixeed', 'dukiiii', 'powerYY', 'pulzG']","['11', '16']",Train,UNITED Pro Series Winter 2020,7884
13-1-21,"['Sprout', 'faveN', 'kressy', 'slaxz-', 'denis', 'Spiidi']","['TTC', 'KrowNii', 'powerYY', 'nixeed', 'pulzG', 'dukiiii']","['16', '12']",Dust2,UNITED Pro Series Winter 2020,7884
14-1-21,"['forZe', 'FL1T', 'Jerry', 'xsepower', 'facecrack', 'almazer']","['HellRaisers', 'jR', 'kalinka', 'JIaYm', 'ProbLeM', 'Flarich']","['13', '16']",Train,Vulkan Fight Series 2020,7883
14-1-21,"['forZe', 'FL1T', 'almazer', 'xsepower', 'Jerry', 'facecrack']","['HellRaisers', 'Flarich', 'kalinka', 'ProbLeM', 'jR', 'JIaYm']","['16', '5']",Nuke,Vulkan Fight Series 2020,7883
14-1-21,"['forZe', 'almazer', 'FL1T', 'Jerry', 'xsepower', 'facecrack']","['HellRaisers', 'jR', 'ProbLeM', 'kalinka', 'JIaYm', 'Flarich']","['16', '3']",Inferno,Vulkan Fight Series 2020,7883
14-1-21,"['Dignitas', 'f0rest', 'HEAP', 'H4RR3', 'hallzerk', 'friberg']","['SINNERS', 'SHOCK', 'NEOFRAG', 'ZEDKO', 'beastik', 'oskar']","['4', '16']",Dust2,Vulkan Fight Series 2020,7882
14-1-21,"['Dignitas', 'H4RR3', 'hallzerk', 'HEAP', 'f0rest', 'friberg']","['SINNERS', 'beastik', 'SHOCK', 'oskar', 'ZEDKO', 'NEOFRAG']","['12', '16']",Inferno,Vulkan Fight Series 2020,7882
14-1-21,"['NLG', 'skyye', 'red', 'pdy', 'xenn', 's1n']","['Unicorns of Love', 'Anhuin', 'P4TriCK', 'HadeZ', 'Python', 'crisby']","['16', '8']",Dust2,UNITED Pro Series Winter 2020,7881
14-1-21,"['NLG', 's1n', 'skyye', 'red', 'pdy', 'xenn']","['Unicorns of Love', 'Anhuin', 'P4TriCK', 'crisby', 'HadeZ', 'Python']","['5', '16']",Overpass,UNITED Pro Series Winter 2020,7881
14-1-21,"['NAVI Junior', 'Gospadarov', 'b1t', 'm0NESY', 'kapacho', 'Topa']","['Nemiga', 'boX', 'lollipop21k', 'mds', 'speed4k', 'Jyo']","['5', '16']",Inferno,Vulkan Fight Series 2020,7880
14-1-21,"['NAVI Junior', 'm0NESY', 'Gospadarov', 'Topa', 'kapacho', 'b1t']","['Nemiga', 'lollipop21k', 'boX', 'speed4k', 'Jyo', 'mds']","['13', '16']",Vertigo,Vulkan Fight Series 2020,7880
14-1-21,"['SPARX', 'tahsiN', 'Marix', 'devraNN', 'krii', 'hyskeee']","['TTC', 'powerYY', 'pulzG', 'KrowNii', 'dukiiii', 'nixeed']","['19', '16']",Inferno,UNITED Pro Series Winter 2020,7879
14-1-21,"['SPARX', 'Marix', 'krii', 'tahsiN', 'devraNN', 'hyskeee']","['TTC', 'KrowNii', 'pulzG', 'powerYY', 'nixeed', 'dukiiii']","['13', '16']",Mirage,UNITED Pro Series Winter 2020,7879
15-1-21,"['Sangal', 'MAJ3R', 'paz', 'l0gicman', 'imoRR', 'ngiN']","['Unique', 'shalfey', 'SELLTER', 'floweaN', 'crush', 'Kre1N']","['16', '10']",Train,Shadow League Season 1,7878
15-1-21,"['Sangal', 'paz', 'ngiN', 'MAJ3R', 'imoRR', 'l0gicman']","['Unique', 'Kre1N', 'crush', 'shalfey', 'floweaN', 'SELLTER']","['11', '16']",Inferno,Shadow League Season 1,7878
15-1-21,"['Sangal', 'l0gicman', 'paz', 'imoRR', 'MAJ3R', 'ngiN']","['Unique', 'shalfey', 'floweaN', 'SELLTER', 'Kre1N', 'crush']","['19', '17']",Nuke,Shadow League Season 1,7878
15-1-21,"['Gambit', 'HObbit', 'nafany', 'sh1ro', 'Ax1Le', 'interz']","['Nemiga', 'boX', 'lollipop21k', 'Jyo', 'speed4k', 'mds']","['16', '6']",Inferno,Vulkan Fight Series 2020,7877
15-1-21,"['Gambit', 'sh1ro', 'nafany', 'HObbit', 'Ax1Le', 'interz']","['Nemiga', 'lollipop21k', 'speed4k', 'boX', 'mds', 'Jyo']","['9', '16']",Vertigo,Vulkan Fight Series 2020,7877
15-1-21,"['HellRaisers', 'kalinka', 'ProbLeM', 'jR', 'JIaYm', 'Flarich']","['GamerLegion', 'RuStY', 'dobbo', 'eraa', 'Zero', 'Adam9130']","['14', '16']",Inferno,Shadow League Season 1,7876
15-1-21,"['HellRaisers', 'kalinka', 'Flarich', 'jR', 'JIaYm', 'ProbLeM']","['GamerLegion', 'eraa', 'Zero', 'RuStY', 'dobbo', 'Adam9130']","['7', '16']",Mirage,Shadow League Season 1,7876
15-1-21,"['HellRaisers', 'jR', 'ProbLeM', 'JIaYm', 'Flarich', 'kalinka']","['GamerLegion', 'eraa', 'dobbo', 'Zero', 'Adam9130', 'RuStY']","['16', '9']",Train,Shadow League Season 1,7876
15-1-21,"['Nexus', 'iM', 'XELLOW', 'ragga', 'SEMINTE', 'BTN']","['Budapest Five', 'coolio', 'torzsi', 'kory', 'fleav', 'kolor']","['10', '16']",Train,Shadow League Season 1,7875
15-1-21,"['Nexus', 'BTN', 'iM', 'ragga', 'XELLOW', 'SEMINTE']","['Budapest Five', 'kory', 'torzsi', 'coolio', 'fleav', 'kolor']","['22', '20']",Dust2,Shadow League Season 1,7875
15-1-21,"['HellRaisers', 'kalinka', 'ProbLeM', 'JIaYm', 'jR', 'Flarich']","['SINNERS', 'ZEDKO', 'SHOCK', 'oskar', 'NEOFRAG', 'beastik']","['14', '16']",Train,Vulkan Fight Series 2020,7874
15-1-21,"['HellRaisers', 'kalinka', 'Flarich', 'JIaYm', 'ProbLeM', 'jR']","['SINNERS', 'oskar', 'NEOFRAG', 'SHOCK', 'beastik', 'ZEDKO']","['14', '16']",Inferno,Vulkan Fight Series 2020,7874
15-1-21,"['HellRaisers', 'jR', 'ProbLeM', 'Flarich', 'JIaYm', 'kalinka']","['SINNERS', 'NEOFRAG', 'oskar', 'SHOCK', 'beastik', 'ZEDKO']","['16', '11']",Dust2,Vulkan Fight Series 2020,7874
15-1-21,"['ALTERNATE aTTaX', 'stfN', 'Krimbo', 'ScrunK', 'PANIX', 'kRYSTAL']","['Sprout', 'faveN', 'slaxz-', 'Spiidi', 'kressy', 'denis']","['16', '6']",Dust2,UNITED Pro Series Winter 2020,7873
15-1-21,"['ALTERNATE aTTaX', 'stfN', 'PANIX', 'ScrunK', 'Krimbo', 'kRYSTAL']","['Sprout', 'slaxz-', 'kressy', 'faveN', 'denis', 'Spiidi']","['16', '13']",Nuke,UNITED Pro Series Winter 2020,7873
15-1-21,"['ALTERNATE aTTaX', 'PANIX', 'ScrunK', 'stfN', 'kRYSTAL', 'Krimbo']","['Sprout', 'slaxz-', 'kressy', 'faveN', 'denis', 'Spiidi']","['16', '11']",Inferno,UNITED Pro Series Winter 2020,7873
15-1-21,"['Project X', 'SENSEi', 'Sergiz', '7oX1C', 'Psycho', 'w0nderful']","['Young Ninjas', 'ztr', 'phzy', 'nilo', 'Sapec', 'Mann3n']","['16', '10']",Nuke,Shadow League Season 1,7872
15-1-21,"['Project X', 'Sergiz', 'Psycho', 'SENSEi', 'w0nderful', '7oX1C']","['Young Ninjas', 'ztr', 'phzy', 'nilo', 'Mann3n', 'Sapec']","['15', '19']",Vertigo,Shadow League Season 1,7872
15-1-21,"['Project X', 'SENSEi', '7oX1C', 'Sergiz', 'w0nderful', 'Psycho']","['Young Ninjas', 'Mann3n', 'nilo', 'Sapec', 'ztr', 'phzy']","['17', '19']",Inferno,Shadow League Season 1,7872
15-1-21,"['NLG', 'pdy', 'skyye', 's1n', 'red', 'xenn']","['TTC', 'PALM1', 'KrowNii', 'powerYY', 'pulzG', 'dukiiii']","['19', '17']",Mirage,UNITED Pro Series Winter 2020,7871
15-1-21,"['NLG', 'red', 'pdy', 'skyye', 'xenn', 's1n']","['TTC', 'PALM1', 'powerYY', 'KrowNii', 'pulzG', 'dukiiii']","['7', '16']",Vertigo,UNITED Pro Series Winter 2020,7871
16-1-21,"['Lyngby Vikings', 'NaToSaphiX', 'birdfromsky', 'rilax', 'FASHR', 'raalz']","['Cult', 'rAge', 'j3kie', 'Senpai102k', 'DemQQ', 'fenvicious']","['16', '13']",Train,Shadow League Season 1,7870
16-1-21,"['Lyngby Vikings', 'NaToSaphiX', 'birdfromsky', 'raalz', 'rilax', 'FASHR']","['Cult', 'fenvicious', 'rAge', 'DemQQ', 'j3kie', 'Senpai102k']","['8', '16']",Inferno,Shadow League Season 1,7870
16-1-21,"['Invictus Int', 'L4F', 'r1nkle', 'V4D1M', 'killmatic', 'Electro']","['VP.Prodigy', 'Norwi', 'h1glaiN', 'awesome', 'Re1GN', 'muR']","['17', '19']",Train,Shadow League Season 1,7869
16-1-21,"['Invictus Int', 'Electro', 'L4F', 'killmatic', 'V4D1M', 'r1nkle']","['VP.Prodigy', 'awesome', 'Norwi', 'Re1GN', 'h1glaiN', 'muR']","['16', '13']",Nuke,Shadow League Season 1,7869
16-1-21,"['ALTERNATE aTTaX', 'stfN', 'ScrunK', 'Krimbo', 'PANIX', 'kRYSTAL']","['NLG', 'red', 'xenn', 's1n', 'pdy', 'skyye']","['13', '16']",Dust2,UNITED Pro Series Winter 2020,7868
16-1-21,"['ALTERNATE aTTaX', 'Krimbo', 'PANIX', 'stfN', 'kRYSTAL', 'ScrunK']","['NLG', 'pdy', 'skyye', 'red', 'xenn', 's1n']","['16', '6']",Vertigo,UNITED Pro Series Winter 2020,7868
16-1-21,"['Gambit', 'nafany', 'sh1ro', 'Ax1Le', 'HObbit', 'interz']","['SINNERS', 'NEOFRAG', 'ZEDKO', 'beastik', 'SHOCK', 'oskar']","['13', '16']",Vertigo,Vulkan Fight Series 2020,7867
16-1-21,"['Gambit', 'interz', 'sh1ro', 'nafany', 'HObbit', 'Ax1Le']","['SINNERS', 'ZEDKO', 'NEOFRAG', 'oskar', 'beastik', 'SHOCK']","['16', '14']",Inferno,Vulkan Fight Series 2020,7867
16-1-21,"['Case', 'delboNi', 'dzt', 'land1n', 'n1ssim', 'yepz']","['Vexed', 'shyyne', 'EIZA', 'volt', 'dox', 'leaf']","['19', '17']",Mirage,Shadow League Season 1,7866
16-1-21,"['Case', 'land1n', 'delboNi', 'n1ssim', 'dzt', 'yepz']","['Vexed', 'dox', 'leaf', 'EIZA', 'shyyne', 'volt']","['16', '11']",Dust2,Shadow League Season 1,7866
16-1-21,"['Case', 'dzt', 'yepz', 'n1ssim', 'delboNi', 'land1n']","['Vexed', 'shyyne', 'volt', 'leaf', 'dox', 'EIZA']","['5', '16']",Overpass,Shadow League Season 1,7866
16-1-21,"['Sprout', 'Spiidi', 'faveN', 'kressy', 'slaxz-', 'denis']","['ALTERNATE aTTaX', 'stfN', 'Krimbo', 'ScrunK', 'PANIX', 'kRYSTAL']","['11', '16']",Mirage,UNITED Pro Series Winter 2020,7865
16-1-21,"['Sprout', 'faveN', 'Spiidi', 'denis', 'slaxz-', 'kressy']","['ALTERNATE aTTaX', 'PANIX', 'Krimbo', 'kRYSTAL', 'stfN', 'ScrunK']","['16', '6']",Vertigo,UNITED Pro Series Winter 2020,7865
16-1-21,"['Triumph', 'Bwills', 'Cooper', 'cxzi', 'Shakezullah', 'viz']","['Eclipse', 'nero', 'droid', 'robby', 'john', 'zeptic']","['4', '16']",Vertigo,Mythic Winter Cup 2021,7864
16-1-21,"['Triumph', 'Cooper', 'cxzi', 'Bwills', 'viz', 'Shakezullah']","['Eclipse', 'droid', 'robby', 'zeptic', 'john', 'nero']","['16', '12']",Mirage,Mythic Winter Cup 2021,7864
16-1-21,"['High Coast', 'bew', 'ben1337', 'PwnAlone', 'RCF', 'djay']","['Russian Canadians', 'J0LZ', 'KmZ', 'vek', 'Melio', 'castro']","['16', '3']",Mirage,Mythic Winter Cup 2021,7863
16-1-21,"['High Coast', 'RCF', 'ben1337', 'djay', 'PwnAlone', 'bew']","['Russian Canadians', 'KmZ', 'castro', 'Melio', 'vek', 'J0LZ']","['7', '16']",Inferno,Mythic Winter Cup 2021,7863
