Date,Team1,Team2,Score,Map,Event,Series
8-1-19,"['Izako Boars', 'tecek', 'Patitek', 'matty', 'nawrot', 'NEEX']","['Tricked', 'acoR', 'snedker', 'glace', 'b0RUP', 'Lukki']","['6', '16']",Dust2,ESEA MDL Season 29 Europe Relegation,8307
8-1-19,"['Valiance', 'EspiranTo', 'huNter-', 'ottoNd', 'nexa', 'LETN1']","['Arena Bulls', 'ELOSSA', 'l0gicman', 'bishop', 'sterben', 'KEY']","['16', '3']",Inferno,ESEA MDL Season 29 Europe Relegation,8306
8-1-19,"['Valiance', 'nexa', 'huNter-', 'EspiranTo', 'ottoNd', 'LETN1']","['Arena Bulls', 'bishop', 'l0gicman', 'ELOSSA', 'KEY', 'sterben']","['5', '16']",Nuke,ESEA MDL Season 29 Europe Relegation,8306
8-1-19,"['EURONICS', 'kzy', 'maRky', 'kolor', 'crisby', 'znajder']","['unknown', 'dfen', 'Ryxxo', 'doktizh', 'fr0slev', 'netrick']","['19', '17']",Nuke,ESEA MDL Season 29 Europe Relegation,8305
8-1-19,"['PACT', 'MOLSI', 'Vegi', 'ToM223', 'lunAtic', 'darko']","['forZe', 'almazer', 'xsepower', 'facecrack', 'Jerry', 'FL1T']","['7', '16']",Mirage,ESEA MDL Season 29 Europe Relegation,8304
8-1-19,"['PACT', 'MOLSI', 'lunAtic', 'ToM223', 'darko', 'Vegi']","['forZe', 'FL1T', 'xsepower', 'Jerry', 'almazer', 'facecrack']","['16', '9']",Overpass,ESEA MDL Season 29 Europe Relegation,8304
8-1-19,"['Flow', 'BENDJI', 'xajdish', 'robiin', 'HugoXD', 'ZER']","['Endpoint', 'Thomas', 'MiGHTYMAX', 'Luzuh', 'stan1ey', 'Puls3']","['11', '16']",Mirage,ESEA MDL Season 29 Europe Relegation,8303
8-1-19,"['Flow', 'HugoXD', 'BENDJI', 'robiin', 'xajdish', 'ZER']","['Endpoint', 'Thomas', 'stan1ey', 'MiGHTYMAX', 'Puls3', 'Luzuh']","['10', '16']",Inferno,ESEA MDL Season 29 Europe Relegation,8303
8-1-19,"['Vitality', 'apEX', 'ALEX', 'NBK-', 'RpK', 'ZywOo']","['Smoke Criminals', 'PetitSkel', 'Fearoth', 'lainNy', 'raw', 'krii']","['14', '16']",Inferno,ESEA MDL Season 29 Europe Relegation,8302
8-1-19,"['Vitality', 'NBK-', 'ZywOo', 'RpK', 'ALEX', 'apEX']","['Smoke Criminals', 'Fearoth', 'PetitSkel', 'raw', 'krii', 'lainNy']","['16', '7']",Mirage,ESEA MDL Season 29 Europe Relegation,8302
8-1-19,"['Bpro', 'dennyslaw', 'niki1', 'Zix', 'NK4Y', 'Rock1nG']","['Spirit', 'sdy', 'Dima', 'S0tF1k', 'DavCost', 'COLDYY1']","['10', '16']",Cache,ESEA MDL Season 29 Europe Relegation,8301
8-1-19,"['Flow', 'HugoXD', 'robiin', 'xajdish', 'BENDJI', 'ZER']","['Endpoint', 'stan1ey', 'Thomas', 'Puls3', 'Luzuh', 'MiGHTYMAX']","['16', '12']",Dust2,ESEA MDL Season 29 Europe Relegation,8300
8-1-19,"['Izako Boars', 'NEEX', 'nawrot', 'tecek', 'Patitek', 'matty']","['Tricked', 'snedker', 'Lukki', 'glace', 'acoR', 'b0RUP']","['17', '19']",Train,ESEA MDL Season 29 Europe Relegation,8299
