,Winner,Team1,Team2,Team1_Score,Team2_Score,Map
166,expert,3DMAX,expert,16,3,Cache
167,expert,expert,3DMAX,16,10,Inferno
168,SJ,3DMAX,SJ,16,6,Inferno
169,Vega Squadron,Vega Squadron,3DMAX,6,16,Inferno
170,Vega Squadron,3DMAX,Vega Squadron,16,3,Mirage
171,3DMAX,x6tence Galaxy,3DMAX,13,16,Mirage
172,x6tence Galaxy,3DMAX,x6tence Galaxy,16,7,Inferno
173,3DMAX,AGO,3DMAX,12,16,Inferno
174,3DMAX,3DMAX,AGO,16,13,Overpass
175,3DMAX,Chaos,3DMAX,12,16,Inferno
176,3DMAX,3DMAX,Chaos,6,16,Overpass
177,Chaos,Chaos,3DMAX,6,16,Mirage
178,Red Reserve,3DMAX,Red Reserve,10,16,Overpass
179,Tricked,Tricked,3DMAX,7,16,Dust2
180,3DMAX,3DMAX,Red Reserve,16,12,Dust2
181,expert,expert,3DMAX,16,13,Inferno
182,Tricked,3DMAX,Tricked,16,5,Overpass
183,3DMAX,EURONICS,3DMAX,11,16,Mirage
184,LDLC,3DMAX,LDLC,16,4,Inferno
185,Sprout,Sprout,3DMAX,7,16,Mirage
186,LDLC,3DMAX,LDLC,11,16,Dust2
187,3DMAX,Endpoint,3DMAX,11,16,Inferno
188,expert,3DMAX,expert,16,4,Cache
189,3DMAX,Valiance,3DMAX,16,6,Cache
190,EURONICS,3DMAX,EURONICS,16,6,Overpass
191,Valiance,Valiance,3DMAX,16,10,Mirage
192,3DMAX,3DMAX,Sprout,3,16,Dust2
193,3DMAX,expert,3DMAX,13,16,Mirage
194,Valiance,3DMAX,Valiance,16,6,Inferno
195,Windigo,Windigo,3DMAX,6,16,Mirage
196,xDparty,3DMAX,xDparty,16,6,Mirage
197,HAVU,HAVU,3DMAX,16,10,Mirage
198,Izako Boars,3DMAX,Izako Boars,16,5,Dust2
199,ALTERNATE aTTaX,ALTERNATE aTTaX,3DMAX,4,16,Inferno
200,3DMAX,3DMAX,expert,16,12,Nuke
201,3DMAX,Windigo,3DMAX,21,25,Overpass
202,Windigo,3DMAX,Windigo,1,16,Dust2
203,3DMAX,Windigo,3DMAX,17,19,Inferno
204,3DMAX,3DMAX,HAVU,16,10,Dust2
205,G2,G2,3DMAX,7,16,Inferno
206,3DMAX,3DMAX,ALTERNATE aTTaX,16,10,Cache
207,3DMAX,Tricked,3DMAX,16,4,Nuke
208,North,3DMAX,North,16,8,Dust2
209,Tricked,Tricked,3DMAX,8,16,Inferno
210,G2,3DMAX,G2,13,16,Train
211,3DMAX,BIG,3DMAX,16,3,Inferno
212,3DMAX,3DMAX,G2,16,10,Cache
213,3DMAX,BIG,3DMAX,16,4,Cache
214,3DMAX,3DMAX,Tricked,16,10,Mirage
215,3DMAX,G2,3DMAX,16,6,Inferno
216,3DMAX,3DMAX,BIG,19,16,Dust2
217,3DMAX,unknown,3DMAX,16,9,Train
218,3DMAX,3DMAX,G2,6,16,Dust2
219,Sprout,Sprout,3DMAX,22,19,Inferno
220,unknown,3DMAX,unknown,10,16,Overpass
221,AGO,AGO,3DMAX,5,16,Mirage
222,Unicorns of Love,3DMAX,Unicorns of Love,11,16,Inferno
223,GamePub,GamePub,3DMAX,7,16,Inferno
224,3DMAX,3DMAX,Sprout,19,16,Dust2
225,3DMAX,Vexed,3DMAX,13,16,Inferno
226,3DMAX,3DMAX,Bpro,8,16,Inferno
227,3DMAX,Vexed,3DMAX,15,19,Inferno
228,3DMAX,3DMAX,AGO,7,16,Overpass
229,Windigo,Windigo,3DMAX,16,13,Inferno
230,Vexed,3DMAX,Vexed,14,16,Mirage
231,ex-3DMAX,Sprout,ex-3DMAX,17,19,Cache
232,Vexed,3DMAX,Vexed,16,9,Mirage
233,ex-3DMAX,Chaos,ex-3DMAX,14,16,Inferno
234,3DMAX,3DMAX,Windigo,6,16,Overpass
235,ex-3DMAX,AVANGAR,ex-3DMAX,16,4,Inferno
236,3DMAX,3DMAX,Akopalipsa,16,10,Inferno
237,HellRaisers,HellRaisers,ex-3DMAX,16,10,Mirage
238,SJ,3DMAX,SJ,16,7,Inferno
239,ex-3DMAX,HellRaisers,ex-3DMAX,16,6,Inferno
240,devils.one,3DMAX,devils.one,16,6,Cache
241,expert,expert,ex-3DMAX,7,16,Inferno
242,3DMAX,3DMAX,HoP,16,10,Inferno
243,ex-3DMAX,Heroic,ex-3DMAX,16,7,Inferno
244,ex-3DMAX,ex-3DMAX,clear,16,14,Cache
245,ex-3DMAX,SJ,ex-3DMAX,10,16,Inferno
246,AVANGAR,ex-3DMAX,AVANGAR,10,16,Overpass
247,ex-3DMAX,pro100,ex-3DMAX,14,16,Nuke
248,HellRaisers,ex-3DMAX,HellRaisers,16,9,Nuke
249,ex-3DMAX,Windigo,ex-3DMAX,13,16,Train
250,ex-3DMAX,ex-3DMAX,Heroic,9,16,Nuke
251,ex-3DMAX,forZe,ex-3DMAX,10,16,Nuke
252,pro100,ex-3DMAX,pro100,11,16,Overpass
253,ex-3DMAX,Tricked,ex-3DMAX,16,7,Train
254,ex-3DMAX,ex-3DMAX,pro100,16,12,Inferno
255,Tricked,Tricked,ex-3DMAX,16,10,Inferno
256,Akopalipsa,ex-3DMAX,Akopalipsa,16,7,Mirage
257,Nemiga,Nemiga,ex-3DMAX,9,16,Mirage
258,Akopalipsa,ex-3DMAX,Akopalipsa,16,7,Inferno
259,ex-3DMAX,Astralis,ex-3DMAX,16,6,Mirage
260,ex-3DMAX,ex-3DMAX,Windigo,7,16,Inferno
261,BIG,BIG,ex-3DMAX,16,13,Mirage
262,Windigo,ex-3DMAX,Windigo,16,9,Nuke
263,HellRaisers,HellRaisers,ex-3DMAX,16,10,Nuke
264,ex-3DMAX,ex-3DMAX,forZe,8,16,Train
265,ex-3DMAX,Epsilon,ex-3DMAX,16,19,Mirage
266,forZe,ex-3DMAX,forZe,16,9,Inferno
267,ex-3DMAX,Epsilon,ex-3DMAX,14,16,Dust2
268,Chaos,ex-3DMAX,Chaos,13,16,Dust2
269,Nemiga,Nemiga,ex-3DMAX,8,16,Dust2
270,ex-3DMAX,ex-3DMAX,Virtus.pro,19,17,Nuke
271,Nemiga,Nemiga,ex-3DMAX,9,16,Nuke
272,4Bowie,4Bowie,TYLOO,5,16,Mirage
273,4Bowie,ViCi,4Bowie,16,5,Inferno
274,Invictus,4Bowie,Invictus,11,16,Mirage
275,4Bowie,L9L,4Bowie,12,16,Inferno
276,5POWER,5POWER,EHOME,16,14,Nuke
277,5POWER,EHOME,5POWER,16,8,Dust2
278,5POWER,5POWER,EHOME,16,11,Train
279,5POWER,ViCi,5POWER,13,16,Mirage
280,5POWER,5POWER,ViCi,25,22,Inferno
281,Ukraine,Ukraine,5POWER,16,13,Dust2
282,5POWER,5POWER,ENZO,6,16,Mirage
283,5POWER,TNC,5POWER,16,6,Inferno
284,ENZO,5POWER,ENZO,12,16,Cache
285,IPET,IPET,5POWER,7,16,Inferno
286,Ukraine,5POWER,Ukraine,16,5,Mirage
287,ViCi,ViCi,5POWER,16,10,Dust2
288,5POWER,5POWER,TNC,16,13,Dust2
289,5POWER,EHOME,5POWER,13,16,Inferno
290,5POWER,5POWER,IPET,16,11,Nuke
291,5POWER,Panda,5POWER,16,9,Mirage
292,5POWER,5POWER,ViCi,5,16,Nuke
293,IPET,IPET,5POWER,9,16,Mirage
294,5POWER,5POWER,EHOME,19,16,Nuke
295,MVP PK,MVP PK,5POWER,16,14,Mirage
296,Panda,5POWER,Panda,11,16,Train
297,5POWER,MVP PK,5POWER,16,6,Inferno
298,5POWER,5POWER,MVP PK,16,12,Overpass
299,5POWER,Panda,5POWER,14,16,Mirage
300,Panda,5POWER,Panda,10,16,Dust2
301,5POWER,Panda,5POWER,16,19,Inferno
302,Lynn Vision,5POWER,Lynn Vision,16,5,Inferno
303,5POWER,TYLOO,5POWER,16,9,Inferno
304,Lynn Vision,5POWER,Lynn Vision,16,9,Mirage
305,EHOME,EHOME,5POWER,16,11,Nuke
306,5POWER,5POWER,TYLOO,7,16,Mirage
307,EHOME,EHOME,5POWER,16,11,Inferno
308,5POWER,5POWER,8EASY,16,14,Mirage
309,5POWER,BTRG,5POWER,16,7,Mirage
310,8EASY,5POWER,8EASY,10,16,Dust2
311,5POWER,BTRG,5POWER,10,16,Dust2
312,8EASY,5POWER,8EASY,16,6,Inferno
313,5POWER,TYLOO,5POWER,14,16,Dust2
314,5POWER,5POWER,Vital Spark,16,14,Mirage
315,ViCi,ViCi,5POWER,9,16,Dust2
316,Vital Spark,5POWER,Vital Spark,16,9,Dust2
317,5POWER,EHOME,5POWER,20,22,Dust2
318,5POWER,5POWER,BTRG,16,10,Train
319,BOOT-d S ,BOOT-d S ,5POWER,9,16,Mirage
320,5POWER,5POWER,TYLOO,9,16,Mirage
321,5POWER,BTRG,5POWER,10,16,Mirage
322,5POWER,5POWER,TYLOO,16,12,Inferno
323,ViCi,ViCi,5POWER,16,12,Overpass
324,5POWER,5POWER,ViCi,9,16,Nuke
325,8EASY,8EASY,5POWER,8,16,Vertigo
326,ViCi,5POWER,ViCi,12,16,Mirage
327,5POWER,BTRG,5POWER,10,16,Train
328,5POWER,5POWER,MVP PK,7,16,Dust2
329,BTRG,BTRG,5POWER,6,16,Inferno
330,5POWER,5POWER,MVP PK,7,16,Train
331,5POWER,ViCi,5POWER,13,16,Inferno
332,EHOME,5POWER,EHOME,13,16,Nuke
333,5POWER,Lucid Dream,5POWER,16,5,Inferno
334,EHOME,5POWER,EHOME,16,7,Inferno
335,Lucid Dream,Lucid Dream,5POWER,19,17,Overpass
336,BOOT-d S ,5POWER,BOOT-d S ,16,9,Inferno
337,5POWER,AVANT,5POWER,16,9,Dust2
338,5POWER,5POWER,BOOT-d S ,8,16,Train
339,5POWER,Energy,5POWER,10,16,Inferno
340,Go1dShark,5POWER,Go1dShark,16,4,Dust2
341,AVANT,AVANT,5POWER,16,11,Overpass
342,Go1dShark,5POWER,Go1dShark,16,5,Inferno
343,AVANT,AVANT,5POWER,19,16,Inferno
344,BTRG,5POWER,BTRG,16,7,Dust2
345,OneThree,OneThree,5POWER,8,16,Overpass
346,ViCi,5POWER,ViCi,15,19,Mirage
347,5POWER,OneThree,5POWER,16,9,Inferno
348,8EASY,5POWER,8EASY,16,8,Dust2
349,8EASY,8EASY,5POWER,8,16,Dust2
350,BTRG,5POWER,BTRG,15,19,Dust2
351,5POWER,8EASY,5POWER,10,16,Overpass
352,ViCi,5POWER,ViCi,16,6,Overpass
353,TYLOO,TYLOO,5POWER,16,10,Overpass
354,ArkAngel,5POWER,ArkAngel,16,5,Dust2
355,BTRG,BTRG,5POWER,5,16,Train
356,5POWER,5POWER,EHOME,9,16,Overpass
357,5POWER,Lucid Dream,5POWER,16,5,Vertigo
358,EHOME,5POWER,EHOME,14,16,Inferno
359,Alpha Red,Alpha Red,5POWER,6,16,Mirage
360,Lucid Dream,5POWER,Lucid Dream,16,5,Train
361,Alpha Red,Alpha Red,5POWER,4,16,Inferno
362,Energy,5POWER,Energy,16,3,Train
363,5POWER,Lucid Dream,5POWER,16,5,Inferno
364,5POWER,5POWER,AVANT,16,13,Mirage
365,BOOT,BOOT,5POWER,16,12,Dust2
366,5POWER,5POWER,OneThree,16,10,Train
367,Invictus,Invictus,5POWER,16,14,Dust2
368,8EASY,5POWER,8EASY,12,16,Train
369,5POWER,JiJieHao,5POWER,17,19,Train
370,5POWER,5POWER,ViCi,8,16,Train
371,5POWER,Invictus,5POWER,12,16,Dust2
372,5POWER,5POWER,ViCi,8,16,Vertigo
373,ViCi,ViCi,5POWER,16,13,Inferno
374,TYLOO,5POWER,TYLOO,12,16,Dust2
375,TYLOO,TYLOO,5POWER,19,15,Dust2
376,5POWER,5POWER,BTRG,16,10,Overpass
377,5POWER,TYLOO,5POWER,16,8,Inferno
378,Lucid Dream,5POWER,Lucid Dream,12,16,Train
379,Lynn Vision,Lynn Vision,5POWER,8,16,Dust2
380,5POWER,5POWER,Lucid Dream,16,13,Mirage
381,JiJieHao,JiJieHao,5POWER,7,16,Inferno
382,BOOT,5POWER,BOOT,12,16,Dust2
383,TYLOO,TYLOO,5POWER,16,13,Inferno
384,Alpha Red,5POWER,Alpha Red,16,7,Overpass
385,Let's Quit,Let's Quit,5POWER,2,16,Dust2
386,5POWER,5POWER,Lucid Dream,19,17,Mirage
387,FURIA,FURIA,5POWER,16,1,Inferno
388,Lucid Dream,5POWER,Lucid Dream,11,16,Train
389,D7G,D7G,5POWER,6,16,Nuke
390,5POWER,5POWER,BOOT,6,16,Nuke
391,ViCi,ViCi,5POWER,16,13,Overpass
392,Invictus,5POWER,Invictus,16,19,Train
393,Lynn Vision,Lynn Vision,5POWER,8,16,Overpass
394,JiJieHao,5POWER,JiJieHao,20,22,Mirage
395,5POWER,Invictus,5POWER,12,16,Overpass
396,JiJieHao,5POWER,JiJieHao,15,19,Inferno
397,5POWER,ViCi,5POWER,16,7,Overpass
398,5POWER,5POWER,Invictus,4,16,Mirage
399,OneThree,OneThree,5POWER,16,10,Dust2
400,Invictus,5POWER,Invictus,11,16,Train
401,5POWER,OneThree,5POWER,10,16,Dust2
402,EHOME,5POWER,EHOME,16,7,Dust2
403,Invictus,Invictus,5POWER,7,16,Dust2
404,5POWER,5POWER,EHOME,16,13,Mirage
405,AUGUST,AUGUST,5POWER,16,10,Dust2
406,5balls,5balls,Nemiga,5,16,Inferno
407,Syman,Syman,5balls,16,13,Train
408,Nemiga,5balls,Nemiga,11,16,Vertigo
409,5balls,Syman,5balls,16,6,Inferno
410,The Final Tribe,5balls,The Final Tribe,16,9,Inferno
411,5balls,Dracarys,5balls,16,8,Train
412,Unique,5balls,Unique,13,16,Train
413,The Final Tribe,The Final Tribe,5balls,9,16,Dust2
414,5balls,5balls,Smoke Criminals,9,16,Nuke
415,5balls,Unique,5balls,16,4,Dust2
416,Ha MaSSe,5balls,Ha MaSSe,16,8,Mirage
417,Smoke Criminals,Smoke Criminals,5balls,16,12,Mirage
418,FCDB,5balls,FCDB,16,6,Mirage
419,5balls,Gambit Youngsters,5balls,16,6,Dust2
420,buaksib,5balls,buaksib,13,16,Mirage
421,5balls,NorBant,5balls,16,7,Overpass
422,buaksib,5balls,buaksib,11,16,Nuke
423,5balls,Unique,5balls,16,8,Mirage
424,5orgless,5orgless,rTE,2,16,Vertigo
425,BL4ZE,BL4ZE,5orgless,8,16,Train
426,BL4ZE,5orgless,BL4ZE,16,6,Overpass
427,5orgless,Global,5orgless,12,16,Inferno
428,5orgless,5orgless,Global,9,16,Overpass
429,Global,Global,5orgless,16,13,Train
430,5orgless,5orgless,BTRG,9,16,Nuke
431,BTRG,BTRG,5orgless,16,1,Train
432,Wasted Potential,5orgless,Wasted Potential,16,3,Dust2
433,District 9,District 9,5orgless,16,12,Train
434,5orgless,5orgless,District 9,16,13,Dust2
435,5orgless,Global,5orgless,13,16,Dust2
436,Global,5orgless,Global,13,16,Overpass
437,Umumba,Umumba,5orgless,4,16,Overpass
438,5orgless,5orgless,Global,6,16,Inferno
439,NASR,NASR,5orgless,16,10,Dust2
440,5orgless,5orgless,Umumba,16,12,Inferno
441,Lucid Dream,Lucid Dream,5orgless,16,10,Dust2
442,NASR,5orgless,NASR,13,16,Train
443,5orgless,Goliath,5orgless,16,9,Train
444,Goliath,5orgless,Goliath,10,16,Inferno
445,5orgless,pro100,5orgless,11,16,Dust2
446,7PM fe,7PM fe,Phoenix,16,14,Overpass
447,Phoenix,Phoenix,7PM fe,16,10,Mirage
448,7PM fe,7PM fe,Phoenix,16,12,Inferno
449,7PM fe,Besiktas,7PM fe,16,3,Inferno
450,7PM fe,7PM fe,FOREVER 21,6,16,Mirage
451,7PM fe,FOREVER 21,7PM fe,16,9,Overpass
452,8EASY,8EASY,ViCi,8,16,Train
453,Thirteen,Thirteen,8EASY,16,14,Overpass
454,8EASY,8EASY,IPET,3,16,Inferno
455,8EASY,Thirteen,8EASY,12,16,Dust2
456,IPET,8EASY,IPET,16,9,Dust2
457,8EASY,Thirteen,8EASY,11,16,Inferno
458,ViCi,8EASY,ViCi,16,5,Overpass
459,ViCi,ViCi,8EASY,16,11,Overpass
460,Thirteen,8EASY,Thirteen,12,16,Dust2
461,8EASY,IPET,8EASY,13,16,Mirage
462,8EASY,8EASY,Thirteen,16,13,Inferno
463,8EASY,IPET,8EASY,16,7,Cache
464,wNv,8EASY,wNv,16,9,Mirage
465,IPET,IPET,8EASY,5,16,Cache
466,TYLOO,8EASY,TYLOO,11,16,Train
467,8EASY,ViCi,8EASY,16,9,Inferno
468,TYLOO,8EASY,TYLOO,15,19,Mirage
469,ViCi,ViCi,8EASY,19,17,Dust2
470,8EASY,8EASY,Vital Spark,19,16,Mirage
471,Thirteen,Thirteen,8EASY,6,16,Overpass
472,NIRVANA,8EASY,NIRVANA,16,6,Vertigo
473,5POWER,5POWER,8EASY,16,14,Mirage
474,NIRVANA,8EASY,NIRVANA,16,6,Mirage
475,8EASY,5POWER,8EASY,10,16,Dust2
476,8EASY,8EASY,5POWER,8,16,Vertigo
477,8EASY,5POWER,8EASY,16,6,Inferno
478,8EASY,8EASY,Lynn Vision,16,10,Dust2
479,wNv,wNv,8EASY,9,16,Train
480,8EASY,8EASY,5POWER,8,16,Dust2
481,Vital Spark,Vital Spark,8EASY,7,16,Train
482,5POWER,8EASY,5POWER,10,16,Overpass
483,8EASY,5POWER,8EASY,16,8,Dust2
484,Very1z,8EASY,Very1z,16,2,Train
485,EHOME,EHOME,8EASY,16,10,Overpass
486,TYLOO,8EASY,TYLOO,13,16,Dust2
487,Lynn Vision,Lynn Vision,8EASY,16,10,Overpass
488,8EASY,8EASY,rTE,2,16,Mirage
489,Lynn Vision,Lynn Vision,8EASY,4,16,Train
490,8EASY,8EASY,Mazaalai,9,16,Train
491,8EASY,5POWER,8EASY,12,16,Train
492,Sinisters,9z,Sinisters,16,7,Dust2
493,9z,All Knights,9z,11,16,Mirage
494,All Knights,9z,All Knights,16,4,Vertigo
495,Denial,Denial,9z,9,16,Inferno
496,9z,9z,All Knights,7,16,Inferno
497,9z,DETONA,9z,11,16,Overpass
498,9z,9z,All Knights,16,14,Dust2
499,DETONA,DETONA,9z,16,1,Mirage
500,Denial,9z,Denial,14,16,Mirage
501,9z,Sons of Scoots,9z,11,16,Overpass
502,Denial,9z,Denial,16,8,Overpass
503,9z,W7M,9z,21,25,Vertigo
504,9z,9z,DETONA,3,16,Inferno
505,9z,W7M,9z,14,16,Mirage
506,Sons of Scoots,9z,Sons of Scoots,12,16,Inferno
