Winner,Team1,Team2,Team1_Score,Team2_Score
Windigo,Windigo,NoChance,5,16
Windigo,NoChance,Windigo,12,16
LDLC,HAVU,LDLC,16,5
LDLC,HAVU,LDLC,11,16
x-kom,x-kom,Winstrike,7,16
x-kom,x-kom,Winstrike,16,12
Winstrike,x-kom,Winstrike,16,6
Red Reserve,Vitality,Red Reserve,16,8
Ronin Horde,Nemiga,Ronin Horde,16,7
Ronin Horde,Ronin Horde,Nemiga,4,16
Unicorns of Love,Unicorns of Love,Sprout,6,16
Chaos,Vitality,Chaos,16,6
x6tence Galaxy,EURONICS,x6tence Galaxy,16,19
EURONICS,EURONICS,x6tence Galaxy,8,16
HAVU,unknown,HAVU,16,6
unknown,HAVU,unknown,16,8
unknown,unknown,HAVU,16,12
ALTERNATE aTTaX,ALTERNATE aTTaX,3DMAX,4,16
3DMAX,3DMAX,ALTERNATE aTTaX,16,10
expert,expert,SJ,16,12
expert,expert,SJ,16,11
pro100,pro100,x-kom,16,12
pro100,pro100,x-kom,3,16
pro100,pro100,x-kom,16,10
Valiance,Valiance,AGO,16,13
AGO,AGO,Valiance,2,16
DETONA,DETONA,Isurus,3,16
DETONA,Isurus,DETONA,16,5
ALTERNATE aTTaX,ALTERNATE aTTaX,NoChance,16,12
ALTERNATE aTTaX,ALTERNATE aTTaX,NoChance,4,16
ALTERNATE aTTaX,NoChance,ALTERNATE aTTaX,16,5
3DMAX,Windigo,3DMAX,21,25
3DMAX,Windigo,3DMAX,17,19
Epsilon,Epsilon,HAVU,16,13
Epsilon,HAVU,Epsilon,19,22
Nocturns,Rejected,Nocturns,16,6
Sharks,Sharks,W7M,16,11
W7M,Sharks,W7M,14,16
W7M,W7M,Sharks,16,10
Quad,Young Blood,Quad,16,5
Bring It On,Furious,Bring It On,16,7
Win Scrims Not Matches,TeamOne,Win Scrims Not Matches,16,2
Singularity,Stay Frosty,Singularity,13,16
The Fundamentals,The Fundamentals,Fragging for Andy,16,14
Spacestation,Spacestation,iNTACT,16,13
Infamous,Singularity,Infamous,13,16
TeamOne,TeamOne,Denial,19,17
Tainted Minds,Tainted Minds,ORDER,5,16
Ground Zero,Ground Zero,Tainted Minds,5,16
PC419,PC419,Paradox,3,16
Off The Grid,Ground Zero,Off The Grid,16,4
PopoutBoyz,PopoutBoyz,Tainted Minds,4,16
North,Heroic,North,16,8
North,Heroic,North,11,16
Heroic,North,Heroic,16,8
Chaos,x-kom,Chaos,10,16
Chaos,x-kom,Chaos,19,22
OpTic,OpTic,G2,5,16
OpTic,G2,OpTic,16,6
forZe,HellRaisers,forZe,12,16
HellRaisers,forZe,HellRaisers,11,16
HellRaisers,HellRaisers,forZe,16,12
Valiance,BIG,Valiance,13,16
Valiance,Valiance,BIG,9,16
BIG,BIG,Valiance,16,10
AVANGAR,AVANGAR,Natus Vincere,19,17
AVANGAR,AVANGAR,Natus Vincere,8,16
Natus Vincere,AVANGAR,Natus Vincere,14,16
North,3DMAX,North,16,8
AGO,unknown,AGO,16,9
unknown,unknown,AGO,7,16
unknown,AGO,unknown,14,16
Tricked,Tricked,x6tence Galaxy,4,16
Tricked,x6tence Galaxy,Tricked,16,4
expert,expert,ENCE,2,16
Chaos,Nemiga,Chaos,16,4
Nemiga,Nemiga,Chaos,7,16
Nemiga,Chaos,Nemiga,16,9
BIG,BIG,HellRaisers,16,11
BIG,HellRaisers,BIG,16,8
HellRaisers,BIG,HellRaisers,16,4
G2,3DMAX,G2,13,16
G2,G2,3DMAX,7,16
3DMAX,3DMAX,G2,16,10
LDLC,LDLC,Vexed,16,10
LDLC,Vexed,LDLC,16,8
Windigo,Windigo,NoChance,7,16
Windigo,NoChance,Windigo,16,8
AGO,AGO,Epsilon,8,16
Epsilon,AGO,Epsilon,16,7
AGO,Epsilon,AGO,14,16
x-kom,expert,x-kom,16,9
x-kom,expert,x-kom,14,16
expert,expert,x-kom,8,16
Valiance,forZe,Valiance,15,19
eUnited,Luminosity,eUnited,16,19
Swole Patrol,Envy,Swole Patrol,12,16
Win Scrims Not Matches,Win Scrims Not Matches,Complexity,5,16
Luminosity,eUnited,Luminosity,16,6
Swole Patrol,Swole Patrol,Envy,16,13
Valiance,Valiance,forZe,8,16
Valiance,Valiance,forZe,9,16
Complexity,Win Scrims Not Matches,Complexity,16,8
Complexity,Win Scrims Not Matches,Complexity,14,16
Ghost,Bad News Bears,Ghost,11,16
Ghost,Bad News Bears,Ghost,13,16
Turma do Pagode,Imperial,Turma do Pagode,16,6
Imperial,Turma do Pagode,Imperial,13,16
Furious,Furious,Young Blood,16,11
Bring It On,Nocturns,Bring It On,15,15
Evidence,Evidence,paiN,2,16
Evidence,paiN,Evidence,16,7
Ghost,Ghost,eUnited,8,16
eUnited,eUnited,Ghost,16,14
Complexity,Complexity,Swole Patrol,16,14
Swole Patrol,Swole Patrol,Complexity,16,13
Swole Patrol,Swole Patrol,Complexity,16,10
All Knights,Furious,All Knights,14,16
Nocturns,Quad,Nocturns,10,16
Luminosity,Luminosity,Bad News Bears,16,14
Luminosity,Bad News Bears,Luminosity,13,16
Denial,Denial,MASSIVEimpact,16,10
Envy,Envy,Win Scrims Not Matches,16,13
Envy,Win Scrims Not Matches,Envy,14,16
The Fundamentals,Stay Frosty,The Fundamentals,12,16
Old Guys Club,Old Guys Club,Final Feature,16,11
Skyfire,Skyfire,Ground Zero,9,16
Skyfire,Chiefs,Skyfire,16,3
Heroic,Heroic,Natus Vincere,8,16
Natus Vincere,Heroic,Natus Vincere,16,19
Paradox,Chiefs,Paradox,16,5
3DMAX,Tricked,3DMAX,16,4
Tricked,Tricked,3DMAX,8,16
3DMAX,3DMAX,Tricked,16,10
pro100,pro100,Chaos,19,16
Chaos,Chaos,pro100,16,13
Chaos,Chaos,pro100,16,14
North,North,Natus Vincere,16,14
North,North,Natus Vincere,16,12
Sprout,expert,Sprout,11,16
Sprout,Sprout,expert,16,11
HellRaisers,HellRaisers,OpTic,8,16
OpTic,OpTic,HellRaisers,7,16
HellRaisers,OpTic,HellRaisers,16,7
forZe,G2,forZe,16,5
forZe,forZe,G2,16,14
G2,G2,forZe,19,16
ex-Fragsters,AGO,ex-Fragsters,16,8
ex-Fragsters,ex-Fragsters,AGO,6,16
Valiance,Valiance,x6tence Galaxy,16,12
x6tence Galaxy,x6tence Galaxy,Valiance,19,16
LDLC,ALTERNATE aTTaX,LDLC,16,8
Chaos,Chaos,x-kom,16,12
Chaos,Chaos,x-kom,16,14
3DMAX,BIG,3DMAX,16,3
3DMAX,3DMAX,BIG,19,16
3DMAX,BIG,3DMAX,16,4
Tricked,Sprout,Tricked,12,16
Tricked,Tricked,Sprout,9,16
unknown,unknown,x6tence Galaxy,7,16
unknown,unknown,x6tence Galaxy,16,13
unknown,x6tence Galaxy,unknown,11,16
Unique,DreamEaters,Unique,16,7
Unique,DreamEaters,Unique,16,19
Unique,DreamEaters,Unique,16,6
Ghost,Envy,Ghost,13,16
Envy,Envy,Ghost,8,16
Complexity,Complexity,Luminosity,9,16
Complexity,Luminosity,Complexity,14,16
Luminosity,Complexity,Luminosity,13,16
G2,G2,OpTic,16,12
G2,G2,OpTic,22,20
expert,Red Reserve,expert,16,9
expert,expert,Red Reserve,4,16
DETONA,DETONA,paiN,16,12
paiN,paiN,DETONA,6,16
All Knights,All Knights,Bring It On,16,11
Young Blood,Young Blood,Nocturns,16,14
Imperial,Sharks,Imperial,16,8
Imperial,Imperial,Sharks,6,16
Swole Patrol,Swole Patrol,eUnited,16,1
Swole Patrol,Swole Patrol,eUnited,16,10
Quad,All Knights,Quad,16,6
Mythic,Denial,Mythic,11,16
Mythic,Old Guys Club,Mythic,11,16
Stay Frosty,TeamOne,Stay Frosty,16,6
Luminosity,Ghost,Luminosity,16,7
Luminosity,Luminosity,Ghost,16,14
Luminosity,Luminosity,Ghost,9,16
Infamous,Infamous,Denial,16,11
MASSIVEimpact,MASSIVEimpact,Stay Frosty,16,10
Spacestation,TeamOne,Spacestation,14,16
AVANGAR,Chaos,AVANGAR,12,16
Chaos,AVANGAR,Chaos,16,8
NoChance,forZe,NoChance,14,16
NoChance,NoChance,forZe,16,14
3DMAX,G2,3DMAX,16,6
3DMAX,3DMAX,G2,6,16
AGO,NoChance,AGO,16,6
NoChance,NoChance,AGO,8,16
AGO,NoChance,AGO,16,9
Vexed,Vexed,HAVU,7,16
HAVU,HAVU,Vexed,4,16
G2,G2,BIG,8,16
BIG,BIG,G2,16,12
pro100,Unicorns of Love,pro100,16,5
Unique,Chaos,Unique,12,16
Chaos,Chaos,Unique,16,12
Chaos,Chaos,Unique,7,16
HoP,Unicorns of Love,HoP,16,5
x6tence Galaxy,LDLC,x6tence Galaxy,10,16
x6tence Galaxy,LDLC,x6tence Galaxy,14,16
KoN Denmark,KoN Denmark,KoN Finland,19,17
unknown,3DMAX,unknown,10,16
3DMAX,unknown,3DMAX,16,9
x-kom,x-kom,Red Reserve,16,12
Red Reserve,Red Reserve,x-kom,6,16
eUnited,eUnited,Ghost,19,17
eUnited,eUnited,Ghost,16,14
KoN Denmark,KoN Sweden,KoN Denmark,16,8
DETONA,DETONA,W7M,3,16
W7M,DETONA,W7M,22,25
KoN Norway,KoN Norway,KoN Sweden,16,11
Bring It On,Quad,Bring It On,12,16
Young Blood,All Knights,Young Blood,16,4
Swole Patrol,Swole Patrol,eUnited,16,14
Swole Patrol,eUnited,Swole Patrol,12,16
Young Blood,Bring It On,Young Blood,15,15
Furious,Quad,Furious,11,16
Sharks,Isurus,Sharks,16,4
Isurus,Sharks,Isurus,12,16
London,London,CeX,16,13
London,CeX,London,14,16
AVANGAR,x6tence Galaxy,AVANGAR,12,16
x6tence Galaxy,x6tence Galaxy,AVANGAR,6,16
Nemiga,DreamEaters,Nemiga,16,9
DreamEaters,Nemiga,DreamEaters,14,16
reflex,London Slayers,reflex,16,8
reflex,reflex,London Slayers,3,16
HAVU,Winstrike,HAVU,16,4
HAVU,Winstrike,HAVU,13,16
HAVU,HAVU,Winstrike,6,16
London Slayers,London,London Slayers,13,16
Unique,DreamEaters,Unique,16,9
Unique,DreamEaters,Unique,16,5
unknown,unknown,NoChance,3,16
unknown,NoChance,unknown,12,16
unknown,NoChance,unknown,16,5
London Slayers,London Slayers,London,8,16
London Slayers,London Slayers,London,16,10
reflex,reflex,Revelation,5,16
Revelation,Revelation,reflex,6,16
reflex,Revelation,reflex,13,16
AVANGAR,AVANGAR,Heavy KnockOut,16,1
Windigo,Windigo,x-kom,9,16
Windigo,x-kom,Windigo,14,16
x-kom,Windigo,x-kom,13,16
Niknexus,Assault Arena,Niknexus,12,16
Assault Arena,Niknexus,Assault Arena,16,4
CeX,CeX,Water Walkers,16,14
CeX,Water Walkers,CeX,18,22
Furious,All Knights,Furious,14,16
All Knights,Furious,All Knights,16,8
In a Hurry,Jaguar,In a Hurry,16,2
In a Hurry,In a Hurry,Jaguar,6,16
reflex,reflex,CeX,8,16
CeX,CeX,reflex,6,16
reflex,CeX,reflex,12,16
Surge,Surge,ducc,16,11
Ignis,Ignis,Absolute,9,16
Ignis,Ignis,Absolute,2,16
London,London,reflex,3,16
reflex,reflex,London,6,16
reflex,London,reflex,16,9
Tricked,Winstrike,Tricked,16,2
Winstrike,Tricked,Winstrike,12,16
London Slayers,London,London Slayers,11,16
London Slayers,London Slayers,London,8,16
London Slayers,London Slayers,London,16,11
AVANGAR,AVANGAR,NoChance,16,11
AVANGAR,NoChance,AVANGAR,14,16
Chaos,x6tence Galaxy,Chaos,12,16
x6tence Galaxy,Chaos,x6tence Galaxy,16,3
Tricked,NoChance,Tricked,11,16
NoChance,NoChance,Tricked,16,10
Tricked,NoChance,Tricked,16,9
Titan,Titan,VajagSalabotBehu,16,11
VajagSalabotBehu,VajagSalabotBehu,Titan,5,16
Esi Pirmais,coluant,Esi Pirmais,10,16
coluant,coluant,Esi Pirmais,16,14
Esi Pirmais,Esi Pirmais,coluant,16,12
GamePub,GamePub,SJ,9,16
HAVU,pro100,HAVU,16,7
pro100,pro100,HAVU,16,11
Unicorns of Love,Unicorns of Love,GamePub,16,14
Shot,Jaguar,Shot,16,9
Shot,Shot,Jaguar,8,16
Esi Pirmais,Esi Pirmais,Titan,5,16
Esi Pirmais,Titan,Esi Pirmais,16,4
LiViD,FeelsBenchedMan,LiViD,16,2
FeelsBenchedMan,LiViD,FeelsBenchedMan,12,16
Niknexus,Niknexus,FULL SEND,5,16
Niknexus,Niknexus,FULL SEND,9,16
Grizzlys,LiViD,Grizzlys,23,25
Jaguar,Jaguar,FULL SEND,8,16
Jaguar,Jaguar,FULL SEND,9,16
Grizzlys,FeelsBenchedMan,Grizzlys,16,7
Caladrius,ORDER,Caladrius,16,5
Astral Influence,Astral Influence,Ground Zero,7,16
Athletico,Athletico,PC419,16,11
AVANGAR,AVANGAR,Windigo,6,16
AVANGAR,Windigo,AVANGAR,16,8
Vexed,Vexed,ALTERNATE aTTaX,2,16
Vexed,ALTERNATE aTTaX,Vexed,16,9
NoChance,x6tence Galaxy,NoChance,13,16
x6tence Galaxy,NoChance,x6tence Galaxy,16,6
ALTERNATE aTTaX,ALTERNATE aTTaX,Chaos,19,17
ex-Fragsters,Spirit,ex-Fragsters,16,9
volgare,Bpro,volgare,16,4
Valiance,Valiance,ex-Fragsters,16,14
Unicorns of Love,3DMAX,Unicorns of Love,11,16
Valiance,Sprout,Valiance,10,16
Red Reserve,Red Reserve,pro100,16,12
Red Reserve,pro100,Red Reserve,1,16
INTZ.Academy,fakeDOSPRO,INTZ.Academy,16,8
fakeDOSPRO,fakeDOSPRO,INTZ.Academy,9,16
INTZ.Academy,fakeDOSPRO,INTZ.Academy,13,16
Furious,Furious,Atrapa2,9,16
Evidence,W7M,Evidence,13,16
W7M,W7M,Evidence,22,18
Evidence,W7M,Evidence,16,9
Bring It On,Young Blood,Bring It On,15,19
Final Feature,MASSIVEimpact,Final Feature,16,8
Athletico,AVANT,Athletico,16,2
DreamEaters,NoChance,DreamEaters,13,16
NoChance,DreamEaters,NoChance,10,16
DreamEaters,DreamEaters,NoChance,5,16
Chaos,HAVU,Chaos,11,16
Chaos,Chaos,HAVU,8,16
HAVU,HAVU,Chaos,16,14
3DMAX,3DMAX,Sprout,19,16
Sprout,Sprout,3DMAX,22,19
Virtus.pro,Virtus.pro,ALTERNATE aTTaX,16,13
expert,expert,Valiance,19,17
Red Reserve,x6tence Galaxy,Red Reserve,17,19
Red Reserve,x6tence Galaxy,Red Reserve,13,16
Tricked,pro100,Tricked,17,19
Tricked,Tricked,pro100,16,14
AGO,LDLC,AGO,12,16
ALTERNATE aTTaX,ALTERNATE aTTaX,HAVU,22,20
HAVU,HAVU,ALTERNATE aTTaX,5,16
Unicorns of Love,Virtus.pro,Unicorns of Love,16,5
forZe,forZe,Izako Boars,16,10
AGO,AGO,ex-Fragsters,16,10
EURONICS,expert,EURONICS,16,6
expert,EURONICS,expert,11,16
Windigo,Windigo,NoChance,16,10
Windigo,NoChance,Windigo,14,16
Santos,DETONA,Santos,16,5
Santos,Santos,DETONA,6,16
Vexed,Sprout,Vexed,16,6
Sprout,Vexed,Sprout,10,16
Nocturns,S2N,Nocturns,16,6
WePlayGames,WePlayGames,paiN,22,20
WePlayGames,WePlayGames,paiN,7,16
WePlayGames,WePlayGames,paiN,16,14
Luminosity,Luminosity,Party Astronauts,5,16
Forty Six and 2,Forty Six and 2,Spacestation,6,16
All Knights,All Knights,Dynasty,16,10
Singularity,Fragging for Andy,Singularity,12,16
Spacestation,Stay Frosty,Spacestation,12,16
PC419,Tainted Minds,PC419,16,6
PopoutBoyz,Content,PopoutBoyz,14,16
Skyfire,Breakaway,Skyfire,16,2
Off The Grid,ORDER,Off The Grid,16,6
Athletico,Chiefs,Athletico,16,3
R!OT,Tainted Minds,R!OT,16,4
Chiefs,Breakaway,Chiefs,12,16
fnatic,ViCi,fnatic,16,9
AVANGAR,Renegades,AVANGAR,16,8
Sprout,Sprout,Red Reserve,6,16
Sprout,Red Reserve,Sprout,13,16
Cloud9,Grayhound,Cloud9,11,16
Vitality,Vitality,TYLOO,8,16
G2,G2,Vega Squadron,16,14
ENCE,Spirit,ENCE,10,16
Sprout,Movistar Riders,Sprout,15,19
expert,x6tence Galaxy,expert,14,16
expert,expert,x6tence Galaxy,7,16
FURIA,FURIA,NiP,6,16
Winstrike,Winstrike,NRG,9,16
LDLC,Chaos,LDLC,10,16
3DMAX,3DMAX,Bpro,8,16
Epsilon,Epsilon,Red Reserve,8,16
GamePub,Nexus,GamePub,16,4
Chaos,Unicorns of Love,Chaos,12,16
3DMAX,3DMAX,AGO,7,16
AGO,AGO,3DMAX,5,16
Vitality,Grayhound,Vitality,17,19
Vega Squadron,Spirit,Vega Squadron,14,16
Heavy KnockOut,pro100,Heavy KnockOut,16,3
Valiance,Valiance,Tricked,16,14
Valiance,Tricked,Valiance,14,16
Unicorns of Love,Movistar Riders,Unicorns of Love,16,9
fakeDOSPRO,fakeDOSPRO,Evidence,9,16
fakeDOSPRO,fakeDOSPRO,Evidence,9,16
Winstrike,Winstrike,fnatic,16,11
AVANGAR,FURIA,AVANGAR,14,16
G2,ENCE,G2,16,6
Cloud9,TYLOO,Cloud9,16,3
Renegades,Renegades,NiP,16,13
ViCi,ViCi,NRG,6,16
Atrapa2,Atrapa2,Bring It On,8,16
Santos,Santos,paiN,7,16
Santos,paiN,Santos,16,7
Fragging for Andy,Denial,Fragging for Andy,16,6
Young Blood,Young Blood,Furious,4,16
MASSIVEimpact,MASSIVEimpact,TeamOne,16,13
Final Feature,Bad News Bears,Final Feature,16,2
Luminosity,Old Guys Club,Luminosity,20,22
Chiefs,Tainted Minds,Chiefs,10,16
Genuine,Genuine,AVANT,9,16
PC419,PC419,Skyfire,4,16
Breakaway,Breakaway,ex-Paradox,16,1
ex-Paradox,ex-Paradox,Off The Grid,16,1
Athletico,Ground Zero,Athletico,16,9
Content,ex-Paradox,Content,16,3
Vitality,Vitality,Vega Squadron,16,1
AVANGAR,G2,AVANGAR,10,16
NiP,Winstrike,NiP,16,6
Cloud9,ViCi,Cloud9,16,6
Red Reserve,Red Reserve,LDLC,9,16
LDLC,Red Reserve,LDLC,10,16
Grayhound,Grayhound,fnatic,9,16
fnatic,fnatic,Grayhound,16,11
ENCE,Renegades,ENCE,16,7
Renegades,ENCE,Renegades,14,16
Virtus.pro,ex-Fragsters,Virtus.pro,14,16
AGO,HAVU,AGO,14,16
AGO,AGO,HAVU,16,10
forZe,forZe,pro100,16,14
Izako Boars,Epsilon,Izako Boars,16,4
NRG,TYLOO,NRG,14,16
NRG,NRG,TYLOO,16,13
Spirit,FURIA,Spirit,16,9
FURIA,Spirit,FURIA,14,16
Movistar Riders,Movistar Riders,Chaos,16,12
Valiance,forZe,Valiance,16,8
volgare,volgare,Bojestvata,16,10
Unicorns of Love,Unicorns of Love,Izako Boars,16,13
SJ,pro100,SJ,13,16
Red Reserve,Red Reserve,ALTERNATE aTTaX,19,15
Tricked,EURONICS,Tricked,13,16
EURONICS,Tricked,EURONICS,16,7
All Knights,All Knights,S2N,9,16
Denial,Denial,Forty Six and 2,16,10
Dynasty,Dynasty,Nocturns,16,13
Stay Frosty,Stay Frosty,Luminosity,5,16
TeamOne,Fragging for Andy,TeamOne,12,16
The Fundamentals,Denial,The Fundamentals,16,9
Old Guys Club,Old Guys Club,Singularity,9,16
Vitality,ViCi,Vitality,22,25
Vitality,ViCi,Vitality,12,16
Windigo,LDLC,Windigo,11,16
LDLC,Windigo,LDLC,20,22
Virtus.pro,Virtus.pro,Movistar Riders,16,13
AVANGAR,TYLOO,AVANGAR,12,16
AVANGAR,AVANGAR,TYLOO,16,14
EURONICS,EURONICS,Windigo,5,16
EURONICS,EURONICS,Windigo,8,16
GamePub,GamePub,3DMAX,7,16
Virtus.pro,LDLC,Virtus.pro,14,16
HoP,HoP,GamePub,21,19
Vexed,3DMAX,Vexed,14,16
3DMAX,Vexed,3DMAX,13,16
KoN Finland,KoN Denmark,KoN Finland,11,16
ENCE,ENCE,Winstrike,16,11
ENCE,Winstrike,ENCE,16,7
ENCE,ENCE,Winstrike,16,13
Nexus,pro100,Nexus,16,2
KoN Sweden,KoN Finland,KoN Sweden,16,7
KoN Finland,KoN Norway,KoN Finland,16,9
Sprout,Sprout,Unicorns of Love,16,14
expert,expert,ALTERNATE aTTaX,22,20
Vega Squadron,Vega Squadron,NiP,19,17
Vega Squadron,NiP,Vega Squadron,16,6
NiP,Vega Squadron,NiP,13,16
Unicorns of Love,Unicorns of Love,ALTERNATE aTTaX,3,16
expert,expert,Sprout,8,16
Sprout,expert,Sprout,11,16
G2,G2,fnatic,8,16
fnatic,G2,fnatic,16,8
fnatic,G2,fnatic,16,5
Codewise Unicorns,Smoke Criminals,Codewise Unicorns,16,9
Smoke Criminals,Smoke Criminals,Codewise Unicorns,7,16
Codewise Unicorns,Codewise Unicorns,Smoke Criminals,6,16
FURIA,FURIA,Cloud9,16,1
Cloud9,Cloud9,FURIA,16,1
Cloud9,Cloud9,FURIA,16,10
PACT,PACT,Brutalis,22,20
PACT,Brutalis,PACT,17,19
Genuine,Tainted Minds,Genuine,16,7
AVANT,PopoutBoyz,AVANT,10,16
ViCi,ViCi,NiP,7,16
ViCi,NiP,ViCi,13,16
NiP,ViCi,NiP,10,16
Endpoint,forZe,Endpoint,16,8
Endpoint,Endpoint,forZe,6,16
pro100,pro100,Movistar Riders,5,16
pro100,Movistar Riders,pro100,16,9
x-kom,ex-Fragsters,x-kom,13,16
x-kom,ex-Fragsters,x-kom,15,19
2019,Throw Potential,2019,10,16
2019,Throw Potential,2019,16,3
2019,Throw Potential,2019,16,7
TYLOO,G2,TYLOO,12,16
TYLOO,TYLOO,G2,2,16
TYLOO,G2,TYLOO,16,7
x-kom,forZe,x-kom,11,16
x-kom,forZe,x-kom,16,4
x-kom,x-kom,forZe,16,13
Movistar Riders,Throw Potential,Movistar Riders,13,16
Movistar Riders,Movistar Riders,Throw Potential,5,16
Movistar Riders,Throw Potential,Movistar Riders,14,16
Smoke Criminals,PACT,Smoke Criminals,14,16
Smoke Criminals,PACT,Smoke Criminals,16,8
Smoke Criminals,Smoke Criminals,PACT,16,10
Winstrike,Cloud9,Winstrike,16,7
Cloud9,Winstrike,Cloud9,16,19
Heavy KnockOut,Heavy KnockOut,volgare,16,12
Zone,The Quest,Zone,11,16
Zone,The Quest,Zone,12,16
Hentai Heroes,Infamous,Hentai Heroes,16,2
Infamous,Hentai Heroes,Infamous,10,16
Final Feature,Hysteria,Final Feature,12,16
Final Feature,Final Feature,Hysteria,16,11
SODMG,SODMG,MASSIVEimpact,8,16
MASSIVEimpact,MASSIVEimpact,SODMG,16,11
MASSIVEimpact,MASSIVEimpact,Infamous,16,11
Infamous,Infamous,MASSIVEimpact,8,16
Final Feature,Final Feature,Zone,16,12
Final Feature,Zone,Final Feature,16,7
Final Feature,Zone,Final Feature,16,2
Breakaway,PC419,Breakaway,10,16
Breakaway,ORDER,Breakaway,16,6
ex-Paradox,ex-Paradox,PopoutBoyz,19,17
Red Reserve,Chaos,Red Reserve,14,16
Red Reserve,Chaos,Red Reserve,12,16
Valiance,Sprout,Valiance,11,16
Valiance,Valiance,Sprout,16,14
Tricked,Tricked,Valiance,8,16
Tricked,Valiance,Tricked,16,6
Unicorns of Love,Kinguin,Unicorns of Love,16,9
Uruguay,Uruguay,Chaos,19,17
Movistar Riders,Izako Boars,Movistar Riders,15,19
LDLC,AGO,LDLC,16,9
LDLC,LDLC,AGO,6,16
HAVU,x6tence Galaxy,HAVU,10,16
x6tence Galaxy,HAVU,x6tence Galaxy,16,6
W7M,INTZ.Academy,W7M,16,8
INTZ.Academy,W7M,INTZ.Academy,16,4
W7M,W7M,INTZ.Academy,16,10
Atrapa2,Furious,Atrapa2,16,3
Atrapa2,Furious,Atrapa2,16,8
WePlayGames,WePlayGames,DETONA,4,16
WePlayGames,WePlayGames,DETONA,6,16
PC419,PC419,R!OT,7,16
Caladrius,Caladrius,Off The Grid,19,17
Athletico,R!OT,Athletico,1,16
Chaos,Chaos,NoChance,9,16
NoChance,Chaos,NoChance,16,8
Chaos,NoChance,Chaos,16,6
ALTERNATE aTTaX,ALTERNATE aTTaX,Valiance,4,16
Valiance,ALTERNATE aTTaX,Valiance,10,16
EURONICS,EURONICS,expert,5,16
expert,expert,EURONICS,16,14
x-kom,HAVU,x-kom,13,16
x-kom,HAVU,x-kom,16,8
HAVU,HAVU,x-kom,16,11
Windigo,Windigo,ALTERNATE aTTaX,16,14
Windigo,ALTERNATE aTTaX,Windigo,13,16
LDLC,LDLC,Unicorns of Love,19,15
AGO,AGO,Uruguay,16,12
Valiance,Valiance,Unicorns of Love,19,17
x-kom,x-kom,x6tence Galaxy,25,23
x6tence Galaxy,x6tence Galaxy,x-kom,16,14
x6tence Galaxy,x6tence Galaxy,x-kom,4,16
pro100,devils.one,pro100,14,16
expert,expert,Windigo,9,16
expert,Windigo,expert,13,16
W7M,DETONA,W7M,16,5
DETONA,DETONA,W7M,16,11
All Knights,Dynasty,All Knights,1,16
All Knights,All Knights,Dynasty,16,12
Farmers,Farmers,The Fundamentals,7,16
Farmers,Farmers,The Fundamentals,8,16
Party Astronauts,SODMG,Party Astronauts,0,16
SODMG,Party Astronauts,SODMG,16,6
Drunkco,Drunkco,FULL SEND,4,16
FULL SEND,FULL SEND,Drunkco,16,0
Singularity,Spacestation,Singularity,16,8
Lowkey,Mythic,Lowkey,1,16
Lowkey,Lowkey,Mythic,5,16
Mythic,Mythic,Lowkey,16,13
Bad News Bears,Spacestation,Bad News Bears,10,16
The Fundamentals,The Fundamentals,Party Astronauts,8,16
Party Astronauts,The Fundamentals,Party Astronauts,16,19
AVANT,AVANT,Caladrius,16,1
Ground Zero,ORDER,Ground Zero,14,16
ex-Paradox,Skyfire,ex-Paradox,16,19
Chiefs,Chiefs,PopoutBoyz,16,13
AVANT,AVANT,Ground Zero,16,14
Vitality,BIG,Vitality,11,16
Renegades,ENCE,Renegades,13,16
HellRaisers,HellRaisers,FaZe,4,16
G2,Natus Vincere,G2,16,7
x6tence Galaxy,x6tence Galaxy,Red Reserve,16,12
x6tence Galaxy,Red Reserve,x6tence Galaxy,16,2
Liquid,AVANGAR,Liquid,12,16
NiP,NiP,NRG,16,14
Complexity,Complexity,Astralis,6,16
MIBR,Cloud9,MIBR,16,3
Epsilon,Sprout,Epsilon,16,5
Uruguay,LDLC,Uruguay,12,16
forZe,devils.one,forZe,12,16
G2,BIG,G2,13,16
AGO,Sprout,AGO,1,16
HellRaisers,ENCE,HellRaisers,12,16
Movistar Riders,ex-Fragsters,Movistar Riders,13,16
pro100,Windigo,pro100,16,7
forZe,Ambush,forZe,1,16
forZe,forZe,Ambush,16,13
GamePub,Bpro,GamePub,16,8
Complexity,MIBR,Complexity,16,9
AVANGAR,AVANGAR,NRG,16,13
Nemiga,Nemiga,FATE,16,12
FATE,FATE,Nemiga,9,16
tomorrow will be better,unknown,tomorrow will be better,13,16
unknown,tomorrow will be better,unknown,12,16
unknown,unknown,tomorrow will be better,5,16
POGGERS,POGGERS,Sprout,5,16
Sprout,POGGERS,Sprout,14,16
Epsilon,Epsilon,average25iqbutheadshots,16,12
average25iqbutheadshots,average25iqbutheadshots,Epsilon,5,16
Renegades,FaZe,Renegades,14,16
Natus Vincere,Natus Vincere,Vitality,25,22
Astralis,Astralis,Cloud9,16,0
DETONA,DETONA,Bulldozer,16,10
Liquid,Liquid,NiP,16,13
W7M,W7M,GANSOS,16,10
Furious,Furious,S2N,16,11
Furious,Furious,S2N,16,11
Forty Six and 2,Mythic,Forty Six and 2,16,9
Isurus,Isurus,2anosOLD,16,14
Party Astronauts,Party Astronauts,Final Feature,19,16
Assault Team,Assault Team,Imperial,3,16
