Winner,Team1,Team2,Team1_Score,Team2_Score
MAX,MAX,ORDER,22,20
MAX,ORDER,MAX,16,6
ORDER,ORDER,MAX,16,14
Recca,BOOT-d S ,Recca,10,16
BOOT-d S ,Recca,BOOT-d S ,15,19
BOOT-d S ,Recca,BOOT-d S ,14,16
New4,New4,MVP PK,8,16
New4,MVP PK,New4,14,16
MVP PK,MVP PK,New4,16,14
EMC,LEOPARD,EMC,12,16
EMC,EMC,LEOPARD,4,16
EMC,EMC,LEOPARD,16,10
ORDER,ORDER,NSPR,16,11
NSPR,NSPR,ORDER,5,16
BOOT-d S ,MVP PK,BOOT-d S ,16,3
MVP PK,MVP PK,BOOT-d S ,16,14
Young Daddy Gang,Young Daddy Gang,plan-B,5,16
Young Daddy Gang,Young Daddy Gang,plan-B,8,16
GoldenGitte,GoldenGitte,MANS NOT HOT,16,11
GoldenGitte,GoldenGitte,MANS NOT HOT,9,16
GoldenGitte,GoldenGitte,MANS NOT HOT,3,16
Liquid,Liquid,FlipSid3,16,10
Bet at Home,Bet at Home,ALPENKINGZ,5,16
Bet at Home,ALPENKINGZ,Bet at Home,16,5
Natus Vincere,mousesports,Natus Vincere,16,2
AVANGAR,AVANGAR,Space Soldiers,9,16
Bet at Home,Young Daddy Gang,Bet at Home,12,16
Bet at Home,Bet at Home,Young Daddy Gang,5,16
Young Daddy Gang,Young Daddy Gang,Bet at Home,9,16
Envy,Envy,Renegades,6,16
Tricked,Ambush,Tricked,14,16
Quantum Bellator Fire,Flash,Quantum Bellator Fire,13,16
Tricked,Tricked,GoldenGitte,19,16
Sprout,Cloud9,Sprout,16,5
plan-B,ALPENKINGZ,plan-B,16,5
plan-B,plan-B,ALPENKINGZ,7,16
FaZe,Vega Squadron,FaZe,16,6
MANS NOT HOT,Tricked,MANS NOT HOT,16,4
Tricked,MANS NOT HOT,Tricked,12,16
Misfits,G2,Misfits,16,5
NSPR,BOOT-d S ,NSPR,16,9
NSPR,NSPR,BOOT-d S ,6,16
ORDER,MVP PK,ORDER,17,19
ORDER,ORDER,MVP PK,16,10
SCARZ Absolute,Chosen5,SCARZ Absolute,11,16
Chosen5,Chosen5,SCARZ Absolute,7,16
