Date,Teams,Score,Map,Event,Series
14-1-19,"['Sprout', 'Tricked']","['22', '19']",Inferno,United Masters League,19356
14-1-19,"['expert', 'unknown']","['13', '16']",Train,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19355
14-1-19,"['expert', 'unknown']","['6', '16']",Cache,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19355
14-1-19,"['Copenhagen Flames', 'ALTERNATE aTTaX']","['16', '9']",Overpass,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19354
14-1-19,"['ALTERNATE aTTaX', 'Copenhagen Flames']","['22', '18']",Train,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19354
14-1-19,"['ALTERNATE aTTaX', 'Copenhagen Flames']","['16', '7']",Inferno,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19354
14-1-19,"[""Jordan's Money Crew"", 'Chaos']","['16', '14']",Overpass,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19353
14-1-19,"['Chaos', ""Jordan's Money Crew""]","['16', '13']",Cache,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19353
14-1-19,"[""Jordan's Money Crew"", 'Chaos']","['9', '16']",Inferno,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19353
14-1-19,"['AGO', 'x6tence Galaxy']","['12', '16']",Overpass,United Masters League,19352
14-1-19,"['x6tence Galaxy', 'AGO']","['16', '9']",Mirage,United Masters League,19352
14-1-19,"['NoChance', 'x-kom']","['19', '16']",Inferno,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19351
14-1-19,"['NoChance', 'x-kom']","['10', '16']",Cache,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19351
14-1-19,"['NoChance', 'x-kom']","['16', '2']",Mirage,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19351
14-1-19,"['Tricked', 'expert']","['16', '8']",Train,United Masters League,19350
14-1-19,"['expert', 'Tricked']","['9', '16']",Inferno,United Masters League,19350
14-1-19,"['Red Reserve', 'Sprout']","['7', '16']",Dust2,United Masters League,19349
14-1-19,"['Red Reserve', 'Sprout']","['10', '16']",Train,United Masters League,19349
14-1-19,"['DETONA', 'S2N']","['16', '2']",Dust2,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19348
14-1-19,"['S2N', 'DETONA']","['8', '16']",Cache,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19348
15-1-19,"['ex-Wild', 'Evidence']","['16', '9']",Cache,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19347
15-1-19,"['Evidence', 'ex-Wild']","['7', '16']",Inferno,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19347
15-1-19,"['Chaos', 'unknown']","['20', '22']",Train,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19346
15-1-19,"['unknown', 'Chaos']","['5', '16']",Overpass,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19346
15-1-19,"['Chaos', 'unknown']","['8', '16']",Inferno,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19346
15-1-19,"['NoChance', 'ALTERNATE aTTaX']","['16', '7']",Mirage,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19345
15-1-19,"['ALTERNATE aTTaX', 'NoChance']","['16', '12']",Inferno,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19345
15-1-19,"['NoChance', 'ALTERNATE aTTaX']","['10', '16']",Overpass,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19345
15-1-19,"['expert', 'HAVU']","['17', '19']",Dust2,United Masters League,19344
15-1-19,"['HAVU', 'expert']","['11', '16']",Train,United Masters League,19344
15-1-19,"['forZe', 'LDLC']","['16', '9']",Dust2,ESEA MDL Season 30 Europe,19343
15-1-19,"['Sprout', 'AGO']","['16', '13']",Cache,United Masters League,19342
15-1-19,"['AGO', 'Sprout']","['10', '16']",Inferno,United Masters League,19341
15-1-19,"['ALTERNATE aTTaX', 'unknown']","['16', '13']",Train,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19340
15-1-19,"['unknown', 'ALTERNATE aTTaX']","['7', '16']",Overpass,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier,19340
15-1-19,"['Red Reserve', 'Tricked']","['16', '11']",Nuke,United Masters League,19339
15-1-19,"['Tricked', 'Red Reserve']","['11', '16']",Dust2,United Masters League,19339
15-1-19,"['Isurus', 'INTZ.Academy']","['16', '12']",Mirage,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19338
15-1-19,"['Isurus', 'INTZ.Academy']","['13', '16']",Overpass,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19338
